first_name,last_name,committee,subcommittee,bioguide_id,note
Jon,Ossoff,Committee on Appropriations,Subcommittee on Legislative Branch,O000174,
Jon,Ossoff,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",O000174,
Jon,Ossoff,Committee on Rules and Administration,,O000174,
Jon,Ossoff,Select Committee on Intelligence,,O000174,
Burgess,Owens,Education and Workforce,,O000086,
Burgess,Owens,Transportation and Infrastructure,,O000086,
Alex,Padilla,Committee on Energy and Natural Resources,Subcommittee on Energy,P000145,
Alex,Padilla,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining",P000145,
Alex,Padilla,Committee on Energy and Natural Resources,Subcommittee on Water and Power,P000145,
Alex,Padilla,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",P000145,
Alex,Padilla,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",P000145,
Alex,Padilla,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,P000145,
Alex,Padilla,Committee on Rules and Administration,,P000145,
Alex,Padilla,Committee on the Budget,,P000145,
Alex,Padilla,Committee on the Judiciary,Subcommittee on Border Security and Immigration,P000145,
Alex,Padilla,Committee on the Judiciary,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",P000145,
Alex,Padilla,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law",P000145,
Alex,Padilla,Committee on the Judiciary,Subcommittee on the Constitution,P000145,
Alex,Padilla,Joint Committee of Congress on the Library,,P000145,
Alex,Padilla,Joint Committee on Printing,,P000145,
Frank,Pallone,Energy and Commerce,,P000034,
Gary,Palmer,Energy and Commerce,,P000609,
Gary,Palmer,Oversight and Government Reform,,P000609,
Jimmy,Panetta,Budget,,P000613,
Jimmy,Panetta,Ways and Means,,P000613,
Chris,Pappas,Transportation and Infrastructure,,P000614,
Chris,Pappas,Veterans' Affairs,,P000614,
Jimmy,Patronis,Small Business,,P000622,
Jimmy,Patronis,Transportation and Infrastructure,,P000622,
Rand,Paul,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,P000603,
Rand,Paul,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,P000603,
Rand,Paul,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",P000603,
Rand,Paul,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",P000603,
Rand,Paul,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,P000603,
Rand,Paul,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,P000603,
Rand,Paul,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,P000603,
Rand,Paul,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",P000603,
Rand,Paul,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census",P000603,
Rand,Paul,Committee on Small Business and Entrepreneurship,,P000603,
Nancy,Pelosi,,,P000197,
Marie,Perez,Appropriations,,G000600,
Scott,Perry,Foreign Affairs,,P000605,
Scott,Perry,Intelligence,,P000605,
Scott,Perry,Oversight and Government Reform,,P000605,
Scott,Perry,Transportation and Infrastructure,,P000605,
Gary,Peters,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",P000595,
Gary,Peters,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",P000595,
Gary,Peters,Committee on Appropriations,Subcommittee on Department of Homeland Security,P000595,
Gary,Peters,Committee on Appropriations,Subcommittee on Energy and Water Development,P000595,
Gary,Peters,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",P000595,
Gary,Peters,Committee on Armed Services,Subcommittee on Airland,P000595,
Gary,Peters,Committee on Armed Services,Subcommittee on Cybersecurity,P000595,
Gary,Peters,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities,P000595,
Gary,Peters,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",P000595,
Gary,Peters,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",P000595,
Gary,Peters,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",P000595,
Gary,Peters,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,P000595,
Gary,Peters,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,P000595,
Gary,Peters,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",P000595,
Gary,Peters,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census",P000595,
Scott,Peters,Budget,,P000608,
Scott,Peters,Energy and Commerce,,P000608,
Brittany,Pettersen,Financial Services,,P000620,
August,Pfluger,Energy and Commerce,,P000048,
August,Pfluger,Homeland Security,,P000048,
Chellie,Pingree,Agriculture,,P000597,
Chellie,Pingree,Appropriations,,P000597,
Stacey,Plaskett,Budget,,P000610,
Stacey,Plaskett,Intelligence,,P000610,
Stacey,Plaskett,Ways and Means,,P000610,
Mark,Pocan,Appropriations,,P000607,
Nellie,Pou,Homeland Security,,P000621,
Nellie,Pou,Transportation and Infrastructure,,P000621,
Ayanna,Pressley,Financial Services,,P000617,
Ayanna,Pressley,Oversight and Government Reform,,P000617,
Mike,Quigley,Appropriations,,Q000023,
Mike,Quigley,Intelligence,,Q000023,
Aumua,Radewagen,Foreign Affairs,,R000600,
Aumua,Radewagen,Natural Resources,,R000600,
Aumua,Radewagen,Veterans' Affairs,,R000600,
Delia,Ramirez,Homeland Security,,R000617,
Delia,Ramirez,Veterans' Affairs,,R000617,
Emily,Randall,Natural Resources,,R000621,
Emily,Randall,Oversight and Government Reform,,R000621,
Jamie,Raskin,Judiciary,,R000606,
Jack,Reed,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",R000122,
Jack,Reed,Committee on Appropriations,Subcommittee on Department of Defense,R000122,
Jack,Reed,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",R000122,
