first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Richard,Blumenthal,US Senate Caucus on Intl Narcotics Control,,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Lisa,Blunt Rochester,"Committee on Banking, Housing, & Urban Affairs",Subcommittee on Economic Policy,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Banking, Housing, & Urban Affairs","Subcommittee on Housing, Transportation, & Community Development",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Banking, Housing, & Urban Affairs","Subcommittee on Securities, Insurance, & Investment",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, & Transportation","Subcommittee on Coast Guard, Maritime, & Fisheries",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, & Transportation","Subcommittee on Consumer Protection, Tech, & Data Privacy",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, & Transportation","Subcommittee on Science, Manufacturing, & Competitiveness",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, & Transportation",Subcommittee on Telecommunications & Media,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,Committee on Environment & Public Works,"Subcommittee on Chemical Safety, Waste Mgmt, Environ Justice, & Reg Oversight",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,Committee on Environment & Public Works,"Subcommittee on Clean Air, Climate, & Nuclear Innovation & Safety",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,Committee on Environment & Public Works,Subcommittee on Transportation & Infrastructure,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, & Pensions",Subcommittee on Education & the American Family,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, & Pensions",Subcommittee on Primary Health & Retirement Security,,S4DE00060,B001303,,,,,,
Lauren,Boebert,Natural Resources,,N00045974,H0CO03165,B000825,,,,,,H0CO03165
Lauren,Boebert,Oversight & Govt Reform,,N00045974,H0CO03165,B000825,,,,,,H0CO03165
Suzanne,Bonamici,Education & Workforce,,N00033474,H2OR01133,B001278,,,,,,H2OR01133
Suzanne,Bonamici,"Science, Space, & Technology",,N00033474,H2OR01133,B001278,,,,,,H2OR01133
Cory,Booker,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Commodities, Derivatives, Risk Mgmt, & Trade",,,B001288,,,,,,
Cory,Booker,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Food & Nutrition, Specialty Crops, Organics, & Research",,,B001288,,,,,,
Cory,Booker,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Livestock, Dairy, Poultry, & Food Safety",,,B001288,,,,,,
Cory,Booker,Committee on Foreign Relations,Subcommittee on Africa & Global Health Policy,,,B001288,,,,,,
Cory,Booker,Committee on Foreign Relations,Subcommittee on Europe & Regional Security Cooperation,,,B001288,,,,,,
Cory,Booker,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, & Counterterrorism",,,B001288,,,,,,
Cory,Booker,Committee on Small Business & Entrepreneurship,,,,B001288,,,,,,
Cory,Booker,Committee on The Judiciary,"Subcommittee on Antitrust, Competition Policy, & Consumer Rights",,,B001288,,,,,,
Cory,Booker,Committee on The Judiciary,Subcommittee on Border Security & Immigration,,,B001288,,,,,,
Cory,Booker,Committee on The Judiciary,Subcommittee on Crime & Counterterrorism,,,B001288,,,,,,
Cory,Booker,Committee on The Judiciary,Subcommittee on the Constitution,,,B001288,,,,,,
John,Boozman,Commission on Security & Cooperation in Europe,,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Commodities, Derivatives, Risk Mgmt, & Trade",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Conservation, Forestry, Ntrl Res, & Biotech",N00013873,S0AR00150,B001236,,,,,,S0AR00150
