bioguide_id,cid,first_name,last_name,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
M001232,N00053899,April,McClain Delaney,https://www.opensecrets.org/members-of-congress/april-mcclain-delaney/summary?cid=N00053899&cycle=2024,"American Israel Public Affairs Cmte ($37,900); Forbright Bank ($22,755); AmeriPAC: The Fund for a Greater America ($16,600); Monumental Sports & Entertainment ($16,500); Georgetown University ($14,130)","Securities & Investment ($187,083); Leadership PACs ($153,900); Retired ($152,119); Real Estate ($125,853); Lawyers/Law Firms ($125,042)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001227,N00051961,Jennifer,McClellan,https://www.opensecrets.org/members-of-congress/summary?cid=N00051961,"Dominion Energy ($26,000); Verizon Communications ($25,125); Service Employees International Union ($25,000); American Israel Public Affairs Cmte ($23,550); McGuireWoods LLP ($21,918)","Lawyers/Law Firms ($181,087); Retired ($155,620); Democratic/Liberal ($148,862); Real Estate ($86,474); Civil Servants/Public Officials ($68,280)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001177,N00006863,Tom,McClintock,https://www.opensecrets.org/members-of-congress/tom-mcclintock/summary?cid=N00006863,"Quest Media & Supplies ($13,200); Technical Maintenance Support Inc ($10,700); Koch Inc ($10,000); Paynter Realty & Investments ($9,900); National Assn of Insurance & Financial Advisors ($9,500)","Retired ($205,981); Republican/Conservative ($102,154); Real Estate ($69,275); Casinos/Gambling ($31,800); Electronics Mfg & Equip ($30,700)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001143,N00012942,Betty,McCollum,https://www.opensecrets.org/members-of-congress/betty-mccollum/summary?cid=N00012942,"Heartland Realty Investors ($34,000); Holland & Knight ($30,600); Fillmore Ai ($26,400); STARKEY HEARING TECHNOLOGIES ($22,300); Kaplan, Strangis & Kaplan ($20,800)","Misc Defense ($106,600); Retired ($105,613); Defense Aerospace ($92,900); Lawyers/Law Firms ($91,456); Casinos/Gambling ($82,650)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M000355,N00003389,Mitch,McConnell,https://www.opensecrets.org/members-of-congress/mcconnell-mitch/summary?cid=N00003389&cycle=2024,"Kent Companies ($688,132); NorPAC ($163,575); Blackstone Group ($118,430); United Parcel Service ($110,113); Humana Inc ($68,838)","Retired ($23,931,381); Real Estate ($2,201,224); Securities & Investment ($1,982,763); Health Professionals ($1,764,364); Republican/Conservative ($1,211,733)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
M001218,N00044520,Richard,McCormick,https://www.opensecrets.org/members-of-congress/richard-mccormick/summary?cid=N00044520,"Cox Enterprises ($20,700); Mesa Capital Partners ($19,000); Insight Sourcing Group ($16,500); Home Depot ($15,000); Wilheit Packaging ($13,500)","Human Rights ($309,046); Retired ($300,617); Republican/Conservative ($280,670); Real Estate ($145,444); Health Professionals ($132,685)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001237,N00054163,Kristen,McDonald Rivet,https://www.opensecrets.org/members-of-congress/summary?cid=N00054163,"JStreetPAC ($127,968); EMILY's List ($59,178); Dow Inc ($38,796); AmeriPAC: The Fund for a Greater America ($37,925); Swing Left ($34,447)","Retired ($564,864); Democratic/Liberal ($428,399); Leadership PACs ($284,925); Securities & Investment ($264,239); Lawyers/Law Firms ($235,004)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001240,N00054055,Addison,McDowell,https://www.opensecrets.org/members-of-congress/summary?cid=N00054055,"Veterans Guardian VA Claim Consulting ($42,900); Flow Automotive ($33,000); Ragnar Partners ($23,100); American Israel Public Affairs Cmte ($17,500); Mk Resources ($16,500)","Leadership PACs ($94,300); Automotive ($70,639); Lobbyists ($70,525); Retired ($63,690); Securities & Investment ($63,033)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001220,N00049295,Morgan,McGarvey,https://www.opensecrets.org/members-of-congress/morgan-mcgarvey/summary?cid=N00049295,"American Israel Public Affairs Cmte ($49,003); Brown-Forman Corp ($29,075); Kidz Club ($24,200); NorPAC ($20,810); Norton Healthcare ($16,775)","Lawyers/Law Firms ($146,896); Retired ($126,322); Health Professionals ($97,650); Democratic/Liberal ($92,837); Real Estate ($91,657)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M000312,N00000179,James,McGovern,https://www.opensecrets.org/members-of-congress/summary?cid=N00000179,"JStreetPAC ($13,800); King & Spalding ($13,000); Ischemix ($10,600); Air Line Pilots Assn ($10,000); American Crystal Sugar ($10,000)","Retired ($81,573); Building Trade Unions ($74,500); Lawyers/Law Firms ($63,354); Lobbyists ($63,155); Public Sector Unions ($49,510)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
