BioGuideID,first_name,last_name,representative,house,party,transaction,ticker,ticker_type,description,range,amount,excess_return,price_change,spy_change,report_date,transaction_date,last_modified
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,AWK,ST,,1001.0,1001.0,-2.94786752298448,-2.13789417423838,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,ADP,ST,,1001.0,1001.0,-1.36762639031484,-0.557653041568745,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,WMT,ST,,1001.0,1001.0,13.0167734729746,13.8267468217207,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,ADI,ST,,1001.0,1001.0,18.0968063122709,18.906779661017,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,APD,ST,,1001.0,1001.0,-3.27461386061678,-2.46464051187068,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,AAPL,ST,,1001.0,1001.0,2.15182423769058,2.96179758643668,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,NEE,ST,,1001.0,1001.0,-3.24484064847826,-2.43486729973216,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,LHX,ST,,1001.0,1001.0,-3.23769887991992,-2.42772553117382,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,UNH,ST,,1001.0,1001.0,-2.66205121534767,-1.85207786660157,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,ITW,ST,,1001.0,1001.0,0.924295809827311,1.73426915857341,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,HD,ST,,1001.0,1001.0,-7.71399646023765,-6.90402311149155,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,PG,ST,,1001.0,1001.0,-4.45219846706697,-3.64222511832087,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,O,ST,,1001.0,1001.0,0.856099352608145,1.66607270135425,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,PEP,ST,,1001.0,1001.0,2.98395077277146,3.79392412151756,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,CSCO,ST,,1001.0,1001.0,9.09973538911799,9.90970873786409,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,V,ST,,1001.0,1001.0,-4.48160021617347,-3.67162686742737,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,JNJ,ST,,1001.0,1001.0,7.77873632867325,8.58870967741935,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,LGIH,ST,,15001.0,15001.0,6.46271408742066,7.80089988751405,1.33818580009339,2025-12-02,2025-11-04,2025-12-03
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),TPYP,Stock,,1001.0,1001.0,5.79081325307965,4.12910729863333,-1.66170595444633,2025-11-15,2025-11-03,2025-11-15
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Purchase,MKL,ST,,1001.0,1001.0,5.68023019652854,5.84417245065495,0.163942254126406,2025-12-08,2025-11-03,2025-12-09
D000624,Debbie,Dingell,Debbie Dingell,Representatives,D,Exchange,Q,ST,"ASSET WAS ACQUIRED THROUGH A DUPONT DE NEMOURS, INC. (DD) SPINOFF.",1001.0,1001.0,-13.2000247283532,-13.0360824742268,0.163942254126406,2025-12-06,2025-11-03,2025-12-08
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,HY,ST,,50001.0,50001.0,-5.30006350026731,-5.13612124614091,0.163942254126406,2025-12-02,2025-11-03,2025-12-03
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Purchase,MSFT,Stock,,250001.0,250001.0,-5.26923595081712,-5.10529369669071,0.163942254126406,2025-11-21,2025-11-03,2025-11-21
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Sale (Full),BRK.B,Stock,,15001.0,15001.0,4.21294977412788,4.37689202825429,0.163942254126406,2025-11-21,2025-11-03,2025-11-21
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Sale (Full),CMG,Stock,,15001.0,15001.0,7.56376323619412,7.72770549032053,0.163942254126406,2025-11-21,2025-11-03,2025-11-21
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Sale (Full),FI,Stock,,15001.0,15001.0,-1.77060674125589,-2.05710776788456,-0.286501026628671,2025-11-21,2025-11-03,2025-11-21
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Sale (Full),TMUS,Stock,,50001.0,50001.0,-1.3394291713013,-1.17548691717489,0.163942254126406,2025-11-21,2025-11-03,2025-11-21
F000110,Cleo,Fields,Cleo Fields,Representatives,D,Purchase,NFLX,ST,,100001.0,100001.0,-12.7165515860902,-12.5526093319637,0.163942254126406,2025-11-19,2025-11-03,2025-11-20
F000110,Cleo,Fields,Cleo Fields,Representatives,D,Purchase,CLS,ST,,15001.0,15001.0,-2.53923236042708,-2.37529010630067,0.163942254126406,2025-11-19,2025-11-03,2025-11-20
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Sale,GOOGL,ST,,1001.0,1001.0,10.2371574216102,10.4010996757366,0.163942254126406,2025-11-18,2025-11-03,2025-11-19
C001123,Gilbert,Cisneros,Gilbert Cisneros,Representatives,D,Sale,DSGX,ST,,1001.0,1001.0,5.45237965009577,5.61632190422217,0.163942254126406,2025-11-18,2025-11-03,2025-11-19
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Sale,AEP,ST,,1001.0,1001.0,-2.89492957900967,-2.73098732488326,0.163942254126406,2025-11-18,2025-11-03,2025-11-19
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Purchase,PGR,ST,,1001.0,1001.0,10.3907951047347,10.5547373588611,0.163942254126406,2025-11-18,2025-11-03,2025-11-19
C001123,Gilbert,Cisneros,Gilbert Cisneros,Representatives,D,Purchase,CVLT,ST,,1001.0,1001.0,-14.4333730441813,-14.2694307900549,0.163942254126406,2025-11-18,2025-11-03,2025-11-19
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Purchase,IBP,ST,,1001.0,1001.0,10.6705364830138,10.8344787371402,0.163942254126406,2025-11-18,2025-11-03,2025-11-19
F000110,Cleo,Fields,Cleo Fields,Representatives,D,Purchase,CLS,ST,,15001.0,15001.0,-8.70370073529144,-10.7466326056665,-2.04293187037509,2025-11-12,2025-10-31,2025-11-13
F000110,Cleo,Fields,Cleo Fields,Representatives,D,Purchase,NFLX,ST,,100001.0,100001.0,2.17431560024299,0.131383729867904,-2.04293187037509,2025-11-12,2025-10-31,2025-11-13
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,VZ,ST,,15001.0,15001.0,4.47121571536753,2.42828384499244,-2.04293187037509,2025-11-12,2025-10-31,2025-11-12
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Sale,TDY,ST,,1001.0,1001.0,-2.81071833273035,-4.85365020310543,-2.04293187037509,2025-11-04,2025-10-31,2025-11-05
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Sale,FBIN,ST,,1001.0,1001.0,-3.35076891702648,-5.39370078740157,-2.04293187037509,2025-11-04,2025-10-31,2025-11-05
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Purchase,BRO,ST,,1001.0,1001.0,3.07127398223865,1.02834211186357,-2.04293187037509,2025-11-04,2025-10-31,2025-11-05
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Purchase,TSCO,ST,,1001.0,1001.0,4.87050533184247,2.82757346146738,-2.04293187037509,2025-11-04,2025-10-31,2025-11-05
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Purchase,LH,ST,,1001.0,1001.0,7.96906196960331,5.92613009922822,-2.04293187037509,2025-11-04,2025-10-31,2025-11-05
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),OMC,Stock,,1001.0,1001.0,-2.25020244665215,-3.7190082644628,-1.46880581781065,2025-11-15,2025-10-31,2025-11-15
B001236,John,Boozman,John Boozman,Senate,R,Purchase,META,Stock,,1001.0,1001.0,-4.52949756770643,-5.99830338551708,-1.46880581781065,2025-11-15,2025-10-31,2025-11-15
