bioguide_id,first_name,last_name,party,state,chamber,committee_assignments
C001059,Jim,Costa,Democrat,CA,House,Agriculture | Foreign Affairs
C001095,Tom,Cotton,Republican,AR,Senate,"Committee on Armed Services: Subcommittee on Airland; Subcommittee on Cybersecurity; Subcommittee on Emerging Threats and Capabilities; Subcommittee on Strategic Forces | Committee on Energy and Natural Resources: Subcommittee on Energy; Subcommittee on Public Lands, Forests, and Mining | Joint Economic Committee | Select Committee on Intelligence"
C001069,Joe,Courtney,Democrat,CT,House,Armed Services | Education and Workforce
C001119,Angie,Craig,Democratic,MN,House,Agriculture
C001096,Kevin,Cramer,Republican,ND,Senate,"Committee on Armed Services: Subcommittee on Airland (Chairman); Subcommittee on Emerging Threats and Capabilities; Subcommittee on Readiness and Management Support; Subcommittee on Strategic Forces | Committee on Banking, Housing, and Urban Affairs: Subcommittee on Financial Institutions and Consumer Protection; Subcommittee on Housing, Transportation, and Community Development; Subcommittee on Securities, Insurance, and Investment | Committee on Environment and Public Works: Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety; Subcommittee on Fisheries, Wildlife, and Water; Subcommittee on Transportation and Infrastructure (Chairman) | Committee on Veterans' Affairs"
C001132,Elijah,Crane,Republican,AZ,House,Oversight and Government Reform | Homeland Security
C001137,Jeff,Crank,Republican,CO,House,Armed Services | Natural Resources
C000880,Mike,Crapo,Republican,ID,Senate,"Committee on Banking, Housing, and Urban Affairs: Subcommittee on Financial Institutions and Consumer Protection; Subcommittee on Housing, Transportation, and Community Development; Subcommittee on Securities, Insurance, and Investment | Committee on Finance: Subcommittee on Energy, Natural Resources, and Infrastructure; Subcommittee on Fiscal Responsibility and Economic Growth; Subcommittee on Health Care; Subcommittee on International Trade, Customs, and Global Competitiveness; Subcommittee on Social Security, Pensions, and Family Policy; Subcommittee on Taxation and IRS Oversight | Committee on the Budget | Joint Committee on Taxation"
C001087,Eric,Crawford,Republican,AR,House,Agriculture | Intelligence | Transportation and Infrastructure
C001120,Dan,Crenshaw,Republican,TX,House,Energy and Commerce | Intelligence
C001130,Jasmine,Crockett,Democrat,TX,House,"Oversight and Government Reform | Judiciary | Select Subcomm to Investigate Questions about Jan 6, 2021"
C001121,Jason,Crow,Democrat,CO,House,Armed Services | Intelligence
C001098,Ted,Cruz,Republican,TX,Senate,"Committee on Commerce, Science, and Transportation: Subcommittee on Aviation, Space, and Innovation; Subcommittee on Coast Guard, Maritime, and Fisheries; Subcommittee on Consumer Protection, Technology, and Data Privacy; Subcommittee on Science, Manufacturing, and Competitiveness; Subcommittee on Surface Transportation, Freight, Pipelines, and Safety; Subcommittee on Telecommunications and Media | Committee on Foreign Relations: Subcommittee on Africa and Global Health Policy (Chairman); Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism; Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues | Committee on Rules and Administration | Committee on the Judiciary: Subcommittee on Border Security and Immigration; Subcommittee on Crime and Counterterrorism; Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights (Chairman); Subcommittee on the Constitution"
C001063,Henry,Cuellar,Democrat,TX,House,Appropriations
C001114,John,Curtis,Republican,UT,Senate,"Committee on Commerce, Science, and Transportation: Subcommittee on Coast Guard, Maritime, and Fisheries; Subcommittee on Consumer Protection, Technology, and Data Privacy; Subcommittee on Telecommunications and Media | Committee on Environment and Public Works: Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight (Chairman); Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety; Subcommittee on Transportation and Infrastructure | Committee on Foreign Relations: Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy; Subcommittee on Europe and Regional Security Cooperation; Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues (Chairman) | Committee on Small Business and Entrepreneurship"
D000618,Steve,Daines,Republican,MT,Senate,"Committee on Energy and Natural Resources: Subcommittee on National Parks (Chairman); Subcommittee on Public Lands, Forests, and Mining; Subcommittee on Water and Power | Committee on Finance: Subcommittee on Energy, Natural Resources, and Infrastructure; Subcommittee on Health Care; Subcommittee on International Trade, Customs, and Global Competitiveness | Committee on Foreign Relations: Subcommittee on Africa and Global Health Policy; Subcommittee on Europe and Regional Security Cooperation (Chairman); Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism | Committee on Indian Affairs"
D000629,Sharice,Davids,Democrat,KS,House,Agriculture | Transportation and Infrastructure
D000626,Warren,Davidson,Republican,OH,House,Financial Services | Foreign Affairs
D000096,Danny,Davis,Democrat,IL,House,Ways and Means
D000230,Donald,Davis,Democratic,NC,House,Agriculture | Armed Services
D000594,Monica,De La Cruz,Republican,TX,House,Agriculture | Financial Services
D000631,Madeleine,Dean,Democrat,PA,House,Appropriations | Foreign Affairs
D000197,Diana,DeGette,Democrat,CO,House,Energy and Commerce
D000216,Rosa,DeLauro,Democrat,CT,House,Appropriations
D000617,Suzan,DelBene,Democrat,WA,House,Ways and Means
D000530,Christopher,Deluzio,Democrat,PA,House,Armed Services | Transportation and Infrastructure
D000623,Mark,DeSaulnier,Democrat,CA,House,Education and Workforce | Transportation and Infrastructure | Ethics
