first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL
"Feenstra, Randy - Representative",,,,,,,Iowa,,4,Republican,House: 2021-Present,https://www.congress.gov/member/randy-feenstra/F000446
"Fetterman, John - Senator",,,,,,,Pennsylvania,,,Democratic,Senate: 2023-Present,https://www.congress.gov/member/john-fetterman/F000479
"Fields, Cleo - Representative",,,,,,,Louisiana,,6,Democratic,"House: 1993-1997, 2025-Present",https://www.congress.gov/member/cleo-fields/F000110
"Figures, Shomari - Representative",,,,,,,Alabama,,2,Democratic,House: 2025-Present,https://www.congress.gov/member/shomari-figures/F000481
"Fine, Randy - Representative",,,,,,,Florida,,6,Republican,House: 2025-Present,https://www.congress.gov/member/randy-fine/F000484
"Finstad, Brad - Representative",,,,,,,Minnesota,,1,Republican,House: 2022-Present,https://www.congress.gov/member/brad-finstad/F000475
"Fischbach, Michelle - Representative",,,,,,,Minnesota,,7,Republican,House: 2021-Present,https://www.congress.gov/member/michelle-fischbach/F000470
"Fischer, Deb - Senator",,,,,,,Nebraska,,,Republican,Senate: 2013-Present,https://www.congress.gov/member/deb-fischer/F000463
"Fitzgerald, Scott - Representative",,,,,,,Wisconsin,,5,Republican,House: 2021-Present,https://www.congress.gov/member/scott-fitzgerald/F000471
"Fitzpatrick, Brian K. - Representative",,,,,,,Pennsylvania,,1,Republican,House: 2017-Present,https://www.congress.gov/member/brian-fitzpatrick/F000466
"Fleischmann, Charles J. ""Chuck"" - Representative",,,,,,,Tennessee,,3,Republican,House: 2011-Present,https://www.congress.gov/member/charles-fleischmann/F000459
"Fletcher, Lizzie - Representative",,,,,,,Texas,,7,Democratic,House: 2019-Present,https://www.congress.gov/member/lizzie-fletcher/F000468
"Flood, Mike - Representative",,,,,,,Nebraska,,1,Republican,House: 2022-Present,https://www.congress.gov/member/mike-flood/F000474
"Fong, Vince - Representative",,,,,,,California,,20,Republican,House: 2024-Present,https://www.congress.gov/member/vince-fong/F000480
"Foster, Bill - Representative",,,,,,,Illinois,,11,Democratic,"House: 2008-2011, 2013-Present",https://www.congress.gov/member/bill-foster/F000454
"Foushee, Valerie P. - Representative",,,,,,,North Carolina,,4,Democratic,House: 2023-Present,https://www.congress.gov/member/valerie-foushee/F000477
"Foxx, Virginia - Representative",,,,,,,North Carolina,,5,Republican,House: 2005-Present,https://www.congress.gov/member/virginia-foxx/F000450
"Frankel, Lois - Representative",,,,,,,Florida,,22,Democratic,House: 2013-Present,https://www.congress.gov/member/lois-frankel/F000462
"Franklin, Scott - Representative",,,,,,,Florida,,18,Republican,House: 2021-Present,https://www.congress.gov/member/scott-franklin/F000472
"Friedman, Laura - Representative",,,,,,,California,,30,Democratic,House: 2025-Present,https://www.congress.gov/member/laura-friedman/F000483
"Frost, Maxwell - Representative",,,,,,,Florida,,10,Democratic,House: 2023-Present,https://www.congress.gov/member/maxwell-frost/F000476
"Fry, Russell - Representative",,,,,,,South Carolina,,7,Republican,House: 2023-Present,https://www.congress.gov/member/russell-fry/F000478
"Fulcher, Russ - Representative",,,,,,,Idaho,,1,Republican,House: 2019-Present,https://www.congress.gov/member/russ-fulcher/F000469
"Gallego, Ruben - Senator",,,,,,,Arizona,,,Democratic,Senate: 2025-Present | House: 2015-2025,https://www.congress.gov/member/ruben-gallego/G000574
"Garamendi, John - Representative",,,,,,,California,,8,Democratic,House: 2009-Present,https://www.congress.gov/member/john-garamendi/G000559
"Garbarino, Andrew R. - Representative",,,,,,,New York,,2,Republican,House: 2021-Present,https://www.congress.gov/member/andrew-garbarino/G000597
"Garc�a, Jes�s G. ""Chuy"" - Representative",,,,,,,Illinois,,4,Democratic,House: 2019-Present,https://www.congress.gov/member/jesus-garcia/G000586
"Garcia, Robert - Representative",,,,,,,California,,42,Democratic,House: 2023-Present,https://www.congress.gov/member/robert-garcia/G000598
"Garcia, Sylvia R. - Representative",,,,,,,Texas,,29,Democratic,House: 2019-Present,https://www.congress.gov/member/sylvia-garcia/G000587
"Gill, Brandon - Representative",,,,,,,Texas,,26,Republican,House: 2025-Present,https://www.congress.gov/member/brandon-gill/G000603
"Gillen, Laura - Representative",,,,,,,New York,,4,Democratic,House: 2025-Present,https://www.congress.gov/member/laura-gillen/G000602
"Gillibrand, Kirsten E. - Senator",,,,,,,New York,,,Democratic,Senate: 2009-Present | House: 2007-2009,https://www.congress.gov/member/kirsten-gillibrand/G000555
"Gimenez, Carlos A. - Representative",,,,,,,Florida,,28,Republican,House: 2021-Present,https://www.congress.gov/member/carlos-gimenez/G000593
"Golden, Jared F. - Representative",,,,,,,Maine,,2,Democratic,House: 2019-Present,https://www.congress.gov/member/jared-golden/G000592
"Goldman, Craig A. - Representative",,,,,,,Texas,,12,Republican,House: 2025-Present,https://www.congress.gov/member/craig-goldman/G000601
"Goldman, Daniel S. - Representative",,,,,,,New York,,10,Democratic,House: 2023-Present,https://www.congress.gov/member/daniel-goldman/G000599
"Gomez, Jimmy - Representative",,,,,,,California,,34,Democratic,House: 2017-Present,https://www.congress.gov/member/jimmy-gomez/G000585
"Gonzales, Tony - Representative",,,,,,,Texas,,23,Republican,House: 2021-Present,https://www.congress.gov/member/tony-gonzales/G000594
"Gonzalez, Vicente - Representative",,,,,,,Texas,,34,Democratic,House: 2017-Present,https://www.congress.gov/member/vicente-gonzalez/G000581
"Gooden, Lance - Representative",,,,,,,Texas,,5,Republican,House: 2019-Present,https://www.congress.gov/member/lance-gooden/G000589
"Goodlander, Maggie - Representative",,,,,,,New Hampshire,,2,Democratic,House: 2025-Present,https://www.congress.gov/member/maggie-goodlander/G000604
"Gosar, Paul A. - Representative",,,,,,,Arizona,,9,Republican,House: 2011-Present,https://www.congress.gov/member/paul-gosar/G000565
"Gottheimer, Josh - Representative",,,,,,,New Jersey,,5,Democratic,House: 2017-Present,https://www.congress.gov/member/josh-gottheimer/G000583
"Graham, Lindsey - Senator",,,,,,,South Carolina,,,Republican,Senate: 2003-Present | House: 1995-2003,https://www.congress.gov/member/lindsey-graham/G000359
"Grassley, Chuck - Senator",,,,,,,Iowa,,,Republican,Senate: 1981-Present | House: 1975-1981,https://www.congress.gov/member/chuck-grassley/G000386
"Graves, Sam - Representative",,,,,,,Missouri,,6,Republican,House: 2001-Present,https://www.congress.gov/member/sam-graves/G000546
"Gray, Adam - Representative",,,,,,,California,,13,Democratic,House: 2025-Present,https://www.congress.gov/member/adam-gray/G000605
"Green, Al - Representative",,,,,,,Texas,,9,Democratic,House: 2005-Present,https://www.congress.gov/member/al-green/G000553
"Green, Mark E. - Representative",,,,,,,Tennessee,,7,Republican,House: 2019-2025,https://www.congress.gov/member/mark-green/G000590
"Greene, Marjorie Taylor - Representative",,,,,,,Georgia,,14,Republican,House: 2021-Present,https://www.congress.gov/member/marjorie-greene/G000596
"Griffith, H. Morgan - Representative",,,,,,,Virginia,,9,Republican,House: 2011-Present,https://www.congress.gov/member/h-griffith/G000568
"Grijalva, Ra�l M. - Representative",,,,,,,Arizona,,7,Democratic,House: 2003-2025,https://www.congress.gov/member/raul-grijalva/G000551
"Grothman, Glenn - Representative",,,,,,,Wisconsin,,6,Republican,House: 2015-Present,https://www.congress.gov/member/glenn-grothman/G000576
"Guest, Michael - Representative",,,,,,,Mississippi,,3,Republican,House: 2019-Present,https://www.congress.gov/member/michael-guest/G000591
"Guthrie, Brett - Representative",,,,,,,Kentucky,,2,Republican,House: 2009-Present,https://www.congress.gov/member/brett-guthrie/G000558
"Hageman, Harriet M. - Representative",,,,,,,Wyoming,,At Large,Republican,House: 2023-Present,https://www.congress.gov/member/harriet-hageman/H001096
"Hagerty, Bill - Senator",,,,,,,Tennessee,,,Republican,Senate: 2021-Present,https://www.congress.gov/member/bill-hagerty/H000601
"Hamadeh, Abraham J. - Representative",,,,,,,Arizona,,8,Republican,House: 2025-Present,https://www.congress.gov/member/abraham-hamadeh/H001098
"Harder, Josh - Representative",,,,,,,California,,9,Democratic,House: 2019-Present,https://www.congress.gov/member/josh-harder/H001090
