first_name,middle_name,nick_name,last_name,suffix,chamber,office,role,state,state_abbr,party,fecid,green_id,green_id2,website,campaign_website,date_reelection
Michael,Vincent,Mike,Lawler,,H,House CD 17,Member of Congress,New York,NY,Republican,H2NY17162,G45820,G53398,https://lawler.house.gov/,https://www.lawler4ny.com/,11/3/26
Laurel,,,Lee,,H,House CD 15,Member of Congress,Florida,FL,Republican,H2FL15241,G45796,G53507,https://laurellee.house.gov/,http://www.votelaurel.com/,11/3/26
Mike,,,Lee,,S,Senate Class 3,Senator,Utah,UT,Republican,,G8210,,https://lee.senate.gov/,http://www.leeforsenate.com/,11/7/28
Summer,Lynn,,Lee,,H,House CD 12,Member of Congress,Pennsylvania,PA,Democratic,H2PA18200,G42769,G53695,https://summerlee.house.gov/,https://www.summerforpa.com/,11/3/26
Susan,Kelley,Susie,Lee,,H,House CD 3,Member of Congress,Nevada,NV,Democratic,H6NV04020,G29304,G53635,https://susielee.house.gov/,https://www.susieleeforcongress.com/,11/3/26
Teresa,,,Leger Fernandez,,H,House CD 3,Member of Congress,New Mexico,NM,Democratic,H0NM03102,G34685,G53826,https://fernandez.house.gov/,https://www.teresaforall.com/,11/3/26
Julia,,,Letlow,,H,House CD 5,Member of Congress,Louisiana,LA,Republican,H2LA05126,G39696,G53816,https://letlow.house.gov/,https://www.julialetlow.com/,11/3/26
Mike,,,Levin,,H,House CD 49,Member of Congress,California,CA,Democratic,H8CA49058,G27516,G53484,https://levin.house.gov/,http://www.mikelevin.org/,11/3/26
Sam,T.,,Liccardo,,H,House CD 16,Member of Congress,California,CA,Democratic,H4CA16197,G49483,G53459,https://liccardo.house.gov/,https://www.samliccardo.com/,11/3/26
Ted,W.,,Lieu,,H,House CD 36,Member of Congress,California,CA,Democratic,H4CA33119,G19351,G53806,https://lieu.house.gov/,http://www.lieuforcongress.com/,11/3/26
Zoe,,,Lofgren,,H,House CD 18,Member of Congress,California,CA,Democratic,H4CA16049,G71,G53461,https://lofgren.house.gov/,https://www.zoelofgren.com/,11/3/26
Barry,D.,,Loudermilk,,H,House CD 11,Member of Congress,Georgia,GA,Republican,H4GA11061,G17614,G53526,https://loudermilk.house.gov/,http://www.standwithbarry.com/,11/3/26
Frank,D.,,Lucas,,H,House CD 3,Member of Congress,Oklahoma,OK,Republican,H4OK06056,G600,G53677,https://lucas.house.gov/,http://www.frankdlucas.com/,11/3/26
