first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,
Shontel,Brown,Oversight and Government Reform,,N00047875,H2OH11169,B001313,,,,,
Shontel,Brown,Select Comm on the Strategic Competition US and China,,N00047875,H2OH11169,B001313,,,,,
Julia,Brownley,Natural Resources,,N00034254,H2CA00120,B001285,,,,,
Julia,Brownley,Transportation and Infrastructure,,N00034254,H2CA00120,B001285,,,,,
Julia,Brownley,Veterans' Affairs,,N00034254,H2CA00120,B001285,,,,,
Vern,Buchanan,Joint Committee on Taxation,,N00027626,H6FL13148,B001260,,,,,
Vern,Buchanan,Ways and Means,,N00027626,H6FL13148,B001260,,,,,
Ted,Budd,Committee on Armed Services,Subcommittee on Airland,N00039551,S2NC00505,B001305,,,,,
Ted,Budd,Committee on Armed Services,Subcommittee on Cybersecurity,N00039551,S2NC00505,B001305,,,,,
Ted,Budd,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities,N00039551,S2NC00505,B001305,,,,,
Ted,Budd,Committee on Armed Services,Subcommittee on Personnel,N00039551,S2NC00505,B001305,,,,,
Ted,Budd,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation",N00039551,S2NC00505,B001305,,,,,
Ted,Budd,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",N00039551,S2NC00505,B001305,,,,,
Ted,Budd,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,N00039551,S2NC00505,B001305,,,,,
Ted,Budd,Committee on Small Business and Entrepreneurship,,N00039551,S2NC00505,B001305,,,,,
Ted,Budd,Joint Economic Committee,,N00039551,S2NC00505,B001305,,,,,
Ted,Budd,Select Committee on Intelligence,,N00039551,S2NC00505,B001305,,,,,
Nikki,Budzinski,Agriculture,,N00049102,H2IL13153,B001315,,,,,
Nikki,Budzinski,Veterans' Affairs,,N00049102,H2IL13153,B001315,,,,,
Tim,Burchett,Foreign Affairs,,N00041594,H8TN02119,B001309,,,,,
Tim,Burchett,Oversight and Government Reform,,N00041594,H8TN02119,B001309,,,,,
Tim,Burchett,Transportation and Infrastructure,,N00041594,H8TN02119,B001309,,,,,
Eric,Burlison,Oversight and Government Reform,,N00049123,H2MO07143,B001316,,,,,
Eric,Burlison,Transportation and Infrastructure,,N00049123,H2MO07143,B001316,,,,,
Janelle,Bynum,Financial Services,,,,B001326,,,,,
Ken,Calvert,Appropriations,,N00007099,H2CA37023,C000059,,,,,
Kat,Cammack,Agriculture,,N00045978,H0FL03175,C001039,,,,,
Kat,Cammack,Energy and Commerce,,N00045978,H0FL03175,C001039,,,,,
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation",,,C000127,,,,,
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",,,C000127,,,,,
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,,C000127,,,,,
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,,C000127,,,,,
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",,,C000127,,,,,
