first_name,last_name,committee,subcommittee
Shelley,Capito,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Shelley,Capito,Committee on Rules and Administration,
Bill,Cassidy,Committee on Energy and Natural Resources,Subcommittee on Energy
Bill,Cassidy,Committee on Energy and Natural Resources,Subcommittee on National Parks
Bill,Cassidy,Committee on Energy and Natural Resources,Subcommittee on Water and Power
Bill,Cassidy,Committee on Finance,Subcommittee on Fiscal Responsibility and Economic Growth
Bill,Cassidy,Committee on Finance,Subcommittee on Health Care
Bill,Cassidy,Committee on Finance,Subcommittee on Taxation and IRS Oversight
Bill,Cassidy,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Bill,Cassidy,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Bill,Cassidy,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Bill,Cassidy,Committee on Veterans' Affairs,
Susan,Collins,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"
Susan,Collins,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Susan,Collins,Committee on Appropriations,Subcommittee on Department of Defense
Susan,Collins,Committee on Appropriations,Subcommittee on Department of Homeland Security
Susan,Collins,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies"
Susan,Collins,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Susan,Collins,Committee on Appropriations,Subcommittee on Energy and Water Development
Susan,Collins,Committee on Appropriations,Subcommittee on Financial Services and General Government
Susan,Collins,Committee on Appropriations,Subcommittee on Legislative Branch
Susan,Collins,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies"
Susan,Collins,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
Susan,Collins,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Susan,Collins,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Susan,Collins,Select Committee on Intelligence,
Christopher,Coons,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Christopher,Coons,Committee on Appropriations,Subcommittee on Department of Defense
Christopher,Coons,Committee on Appropriations,Subcommittee on Energy and Water Development
Christopher,Coons,Committee on Appropriations,Subcommittee on Financial Services and General Government
Christopher,Coons,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
Christopher,Coons,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Christopher,Coons,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
Christopher,Coons,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy"
Christopher,Coons,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy"
Christopher,Coons,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development"
Christopher,Coons,Committee on Small Business and Entrepreneurship,
Christopher,Coons,Committee on the Judiciary,Subcommittee on Border Security and Immigration
Christopher,Coons,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Christopher,Coons,Committee on the Judiciary,Subcommittee on Intellectual Property
Christopher,Coons,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law"
Christopher,Coons,Select Committee on Ethics,
John,Cornyn,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
John,Cornyn,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
John,Cornyn,Committee on Finance,Subcommittee on Taxation and IRS Oversight
John,Cornyn,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
John,Cornyn,Committee on Foreign Relations,"Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy"
John,Cornyn,Committee on Foreign Relations,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues"
John,Cornyn,Committee on the Budget,
John,Cornyn,Committee on the Judiciary,Subcommittee on Border Security and Immigration
John,Cornyn,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
John,Cornyn,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law"
John,Cornyn,Committee on the Judiciary,Subcommittee on the Constitution
John,Cornyn,Joint Committee on Taxation,
John,Cornyn,Select Committee on Intelligence,
John,Cornyn,United States Senate Caucus on International Narcotics Control,
Catherine,Cortez Masto,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Catherine,Cortez Masto,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance
Catherine,Cortez Masto,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Catherine,Cortez Masto,Committee on Energy and Natural Resources,Subcommittee on Energy
Catherine,Cortez Masto,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining"
Catherine,Cortez Masto,Committee on Energy and Natural Resources,Subcommittee on Water and Power
Catherine,Cortez Masto,Committee on Finance,Subcommittee on Health Care
Catherine,Cortez Masto,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
Catherine,Cortez Masto,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy"
Catherine,Cortez Masto,Committee on Indian Affairs,
Tom,Cotton,Committee on Armed Services,Subcommittee on Airland
Tom,Cotton,Committee on Armed Services,Subcommittee on Cybersecurity
Tom,Cotton,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities
Tom,Cotton,Committee on Armed Services,Subcommittee on Strategic Forces
Tom,Cotton,Committee on Energy and Natural Resources,Subcommittee on Energy
Tom,Cotton,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining"
Tom,Cotton,Joint Economic Committee,
Tom,Cotton,Select Committee on Intelligence,
Kevin,Cramer,Committee on Armed Services,Subcommittee on Airland
Kevin,Cramer,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities
Kevin,Cramer,Committee on Armed Services,Subcommittee on Readiness and Management Support
Kevin,Cramer,Committee on Armed Services,Subcommittee on Strategic Forces
Kevin,Cramer,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Kevin,Cramer,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Kevin,Cramer,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Kevin,Cramer,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
Kevin,Cramer,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
Kevin,Cramer,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Kevin,Cramer,Committee on Veterans' Affairs,
Mike,Crapo,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Mike,Crapo,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Mike,Crapo,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Mike,Crapo,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
Mike,Crapo,Committee on Finance,Subcommittee on Fiscal Responsibility and Economic Growth
Mike,Crapo,Committee on Finance,Subcommittee on Health Care
Mike,Crapo,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
Mike,Crapo,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy"
Mike,Crapo,Committee on Finance,Subcommittee on Taxation and IRS Oversight
Mike,Crapo,Committee on the Budget,
Mike,Crapo,Joint Committee on Taxation,
Ted,Cruz,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
Ted,Cruz,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
Ted,Cruz,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Ted,Cruz,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
