first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
John,Barrasso,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining",,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Finance,Subcommittee on Health Care,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",,S6WY00068,B001261,,,,,,
Tom,Barrett,Transportation and Infrastructure,,N00049596,H2MI07123,B001321,,,,,,H2MI07123
Tom,Barrett,Veterans' Affairs,,N00049596,H2MI07123,B001321,,,,,,H2MI07123
Michael,Baumgartner,Education and Workforce,,,H4WA05234,B001322,,,,,,
Michael,Baumgartner,Foreign Affairs,,,H4WA05234,B001322,,,,,,
Michael,Baumgartner,Judiciary,,,H4WA05234,B001322,,,,,,
Aaron,Bean,Ways and Means,,N00051369,H2FL04211,B001314,,,,,,H2FL04211
Joyce,Beatty,Financial Services,,N00033904,H2OH03125,B001281,,,,,,H2OH03125
Nicholas,Begich,Natural Resources,,N00049408,H2AK01083,B001323,,,,,,H2AK01083
Nicholas,Begich,"Science, Space, and Technology",,N00049408,H2AK01083,B001323,,,,,,H2AK01083
Nicholas,Begich,Transportation and Infrastructure,,N00049408,H2AK01083,B001323,,,,,,H2AK01083
Wesley,Bell,Armed Services,,,H4MO01134,B001324,,,,,,
Wesley,Bell,Oversight and Government Reform,,,H4MO01134,B001324,,,,,,
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Finance,Subcommittee on Taxation and IRS Oversight,N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Rules and Administration,,N00030608,S0CO00211,B001267,,,,,,S0CO00211
