first_name,last_name,committee,subcommittee,cid,fec_id,match_method,match_score,matched_name,status
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on Rules and Administration,,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on the Judiciary,Subcommittee on Border Security and Immigration,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on the Judiciary,Subcommittee on Intellectual Property,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Shontel,Brown,Agriculture,,N00047875,H2OH11169,alias-gated-fuzzy,1.000,Shontel Brown,matched
Shontel,Brown,Oversight and Government Reform,,N00047875,H2OH11169,alias-gated-fuzzy,1.000,Shontel Brown,matched
Shontel,Brown,Select Comm on the Strategic Competition US and China,,N00047875,H2OH11169,alias-gated-fuzzy,1.000,Shontel Brown,matched
Julia,Brownley,Natural Resources,,N00034254,H2CA00120,alias-gated-fuzzy,1.000,Julia Brownley,matched
