first_name,last_name,state,district,party,committee
Morgan,McGarvey,,3rd,D,Budget
Morgan,McGarvey,,3rd,D,Small Business
Morgan,McGarvey,,3rd,D,Veterans' Affairs
Kelly,Morrison,,3rd,D,Small Business
Kelly,Morrison,,3rd,D,Veterans' Affairs
Gregory,Murphy,,3rd,R,House Administration
Gregory,Murphy,,3rd,R,Veterans' Affairs
Gregory,Murphy,,3rd,R,Ways and Means
Zachary,Nunn,,3rd,R,Agriculture
Zachary,Nunn,,3rd,R,Financial Services
Zachary,Nunn,,3rd,R,Select Comm on the Strategic Competition US and China
Robert,Onder,,3rd,R,Education and Workforce
Robert,Onder,,3rd,R,Judiciary
Robert,Onder,,3rd,R,Transportation and Infrastructure
Marie,Perez,,3rd,D,Appropriations
Delia,Ramirez,,3rd,D,Homeland Security
Delia,Ramirez,,3rd,D,Veterans' Affairs
Mike,Rogers,,3rd,R,Armed Services
Hillary,Scholten,,3rd,D,Small Business
Hillary,Scholten,,3rd,D,Transportation and Infrastructure
Robert,Scott,,3rd,D,Budget
Robert,Scott,,3rd,D,Education and Workforce
Keith,Self,,3rd,R,Foreign Affairs
Keith,Self,,3rd,R,"Science, Space, and Technology"
Keith,Self,,3rd,R,Veterans' Affairs
Adrian,Smith,,3rd,R,Joint Committee on Taxation
Adrian,Smith,,3rd,R,Ways and Means
Marlin,Stutzman,,3rd,R,Budget
Marlin,Stutzman,,3rd,R,Financial Services
Thomas R.,Suozzi,,3rd,D,Ways and Means
Lori,Trahan,,3rd,D,Energy and Commerce
Derrick,Van Orden,,3rd,R,Agriculture
Derrick,Van Orden,,3rd,R,Armed Services
Derrick,Van Orden,,3rd,R,Veterans' Affairs
Steve,Womack,,3rd,R,Appropriations
Young,Kim,,40th,R,Financial Services
Young,Kim,,40th,R,Foreign Affairs
Young,Kim,,40th,R,Select Comm on the Strategic Competition US and China
Ken,Calvert,,41st,R,Appropriations
Robert,Garcia,,42nd,D,Oversight and Government Reform
Robert,Garcia,,42nd,D,Transportation and Infrastructure
Maxine,Waters,,43rd,D,Financial Services
Nanette,Barragan,,44th,D,Energy and Commerce
Derek,Tran,,45th,D,Armed Services
Derek,Tran,,45th,D,Small Business
J.,Correa,,46th,D,Homeland Security
J.,Correa,,46th,D,Judiciary
Dave,Min,,47th,D,Natural Resources
Dave,Min,,47th,D,Oversight and Government Reform
Darrell,Issa,,48th,R,Foreign Affairs
Darrell,Issa,,48th,R,Judiciary
Darrell,Issa,,48th,R,"Science, Space, and Technology"
Mike,Levin,,49th,D,Appropriations
Robert,Aderholt,,4th,R,Appropriations
Mark,Alford,,4th,R,Appropriations
Mark,Alford,,4th,R,Small Business
Jake,Auchincloss,,4th,D,Energy and Commerce
James,Baird,,4th,R,Agriculture
James,Baird,,4th,R,Foreign Affairs
James,Baird,,4th,R,"Science, Space, and Technology"
Aaron,Bean,,4th,R,Ways and Means
Lauren,Boebert,,4th,R,Natural Resources
Lauren,Boebert,,4th,R,Oversight and Government Reform
Tom,Cole,,4th,R,Appropriations
Madeleine,Dean,,4th,D,Appropriations
Madeleine,Dean,,4th,D,Foreign Affairs
Scott,DesJarlais,,4th,R,Agriculture
Scott,DesJarlais,,4th,R,Armed Services
Ron,Estes,,4th,R,Budget
Ron,Estes,,4th,R,Ways and Means
Mike,Ezell,,4th,R,Natural Resources
Mike,Ezell,,4th,R,Transportation and Infrastructure
Pat,Fallon,,4th,R,Armed Services
Pat,Fallon,,4th,R,Intelligence
Pat,Fallon,,4th,R,Oversight and Government Reform
Randy,Feenstra,,4th,R,Agriculture
Randy,Feenstra,,4th,R,Ways and Means
