first_name,last_name,committee,subcommittee
Ted,Budd,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Ted,Budd,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Ted,Budd,Committee on Small Business and Entrepreneurship,
Ted,Budd,Joint Economic Committee,
Ted,Budd,Select Committee on Intelligence,
Nikki,Budzinski,Agriculture,
Nikki,Budzinski,Veterans' Affairs,
Tim,Burchett,Foreign Affairs,
Tim,Burchett,Oversight and Government Reform,
Tim,Burchett,Transportation and Infrastructure,
Eric,Burlison,Oversight and Government Reform,
Eric,Burlison,Transportation and Infrastructure,
Janelle,Bynum,Financial Services,
Ken,Calvert,Appropriations,
Kat,Cammack,Agriculture,
Kat,Cammack,Energy and Commerce,
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Maria,Cantwell,Committee on Energy and Natural Resources,
Maria,Cantwell,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
Maria,Cantwell,Committee on Indian Affairs,
Maria,Cantwell,Committee on Small Business and Entrepreneurship,
Maria,Cantwell,Joint Committee on Taxation,
Shelley,Capito,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Shelley,Capito,Committee on Appropriations,Subcommittee on Department of Defense
Shelley,Capito,Committee on Appropriations,Subcommittee on Department of Homeland Security
Shelley,Capito,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies"
Shelley,Capito,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Shelley,Capito,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Shelley,Capito,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
Shelley,Capito,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Shelley,Capito,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety"
Shelley,Capito,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Shelley,Capito,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight"
Shelley,Capito,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
Shelley,Capito,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
Shelley,Capito,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Shelley,Capito,Committee on Rules and Administration,
Salud,Carbajal,Agriculture,
Salud,Carbajal,Armed Services,
Salud,Carbajal,Transportation and Infrastructure,
Mike,Carey,Budget,
Mike,Carey,House Administration,
Mike,Carey,Joint Committee of Congress on the Library,
Mike,Carey,Ways and Means,
Andre,Carson,Intelligence,
Andre,Carson,Select Comm on the Strategic Competition US and China,
Andre,Carson,Transportation and Infrastructure,
Earl,Carter,Budget,
Earl,Carter,Energy and Commerce,
John,Carter,Appropriations,
Troy,Carter,Energy and Commerce,
Troy,Carter,Homeland Security,
Greg,Casar,Education and Workforce,
Greg,Casar,Oversight and Government Reform,
Ed,Case,Appropriations,
Bill,Cassidy,Committee on Energy and Natural Resources,Subcommittee on Energy
Bill,Cassidy,Committee on Energy and Natural Resources,Subcommittee on National Parks
Bill,Cassidy,Committee on Energy and Natural Resources,Subcommittee on Water and Power
Bill,Cassidy,Committee on Finance,Subcommittee on Fiscal Responsibility and Economic Growth
Bill,Cassidy,Committee on Finance,Subcommittee on Health Care
Bill,Cassidy,Committee on Finance,Subcommittee on Taxation and IRS Oversight
Bill,Cassidy,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Bill,Cassidy,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Bill,Cassidy,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Bill,Cassidy,Committee on Veterans' Affairs,
Sean,Casten,Financial Services,
Kathy,Castor,Energy and Commerce,
Kathy,Castor,Select Comm on the Strategic Competition US and China,
Joaquin,Castro,Foreign Affairs,
Joaquin,Castro,Intelligence,
Sheila,Cherfilus-McCormick,Foreign Affairs,
Sheila,Cherfilus-McCormick,Veterans' Affairs,
Judy,Chu,Budget,
Judy,Chu,Ways and Means,
Juan,Ciscomani,Appropriations,
Juan,Ciscomani,Veterans' Affairs,
