first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,top_contributors,top_industries
Andy,Biggs,andy-biggs,https://www.opensecrets.org/members-of-congress/andy-biggs/summary?cid=N00039293,,,,,,,,,,,,,,,,,,,,,,,,,"House Freedom Fund ($57,925); Phoenix Defense ($10,000); 21st Century Healthcare ($7,500); Indeck Energy Services ($7,200); Club for Growth ($6,600)","Retired ($308,970); Republican/Conservative ($261,869); Real Estate ($32,030); Leadership PACs ($21,500); Health Professionals ($19,342)"
Sheri,Biggs,sheri-biggs,https://www.opensecrets.org/members-of-congress/sheri-biggs/summary?cid=N00054222&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Ecowaste Inc ($20,340); Marie Pracht LLC ($14,200); South Carolina Health Care Assn ($12,000); Grainger Nissan ($10,034); American Assn of Nurse Anesthesiology ($10,000)","Leadership PACs ($82,500); Retired ($65,103); Health Professionals ($33,820); Hospitals/Nursing Homes ($33,541); Candidate Committees ($26,000)"
Gus M.,Bilirakis,gus-m-bilirakis,https://www.opensecrets.org/members-of-congress/bilirakis-gus/summary?cid=N00027462&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($19,250); Sawyer Products ($13,200); KDCR Partners ($12,500); Unitedhealth Group ($11,500); Abbott Laboratories ($10,007)","Health Professionals ($229,150); Pharmaceuticals/Health Products ($188,602); Health Services/HMOs ($101,065); Lobbyists ($88,588); Lawyers/Law Firms ($73,932)"
Sanford D.,Bishop,sanford-d-bishop,https://www.opensecrets.org/members-of-congress/bishop-sanford/summary?cid=N00002674&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"AFLAC Inc ($49,475); Butler Prather Llp ($16,000); American Israel Public Affairs Cmte ($14,250); Lotus Lands ($13,200); Southern Cotton Growers Inc ($12,500)","Crop Production & Basic Processing ($170,400); Agricultural Services/Products ($119,385); Retired ($99,886); Public Sector Unions ($67,000); Lawyers/Law Firms ($66,784)"
Marsha,Blackburn,marsha-blackburn,https://www.opensecrets.org/members-of-congress/blackburn-marsha/summary?cid=N00003105&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($303,547); Tractor Supply Co ($59,600); HCA Inc ($47,267); FedEx Corp ($44,145); NorPAC ($42,000)","Republican/Conservative ($6,623,123); Retired ($3,458,397); Securities & Investment ($888,745); Real Estate ($795,604); Health Professionals ($595,459)"
Richard,Blumenthal,richard-blumenthal,https://www.opensecrets.org/members-of-congress/richard-blumenthal/summary?cid=N00031685,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($148,013); Paul, Weiss et al ($83,630); Apollo Global Management ($74,705); Pro-Israel America PAC ($51,600); Charter Communications ($50,501)","Lawyers/Law Firms ($1,308,855); Securities & Investment ($922,928); Retired ($805,060); Leadership PACs ($382,900); Real Estate ($374,349)"
Lisa,Blunt Rochester,lisa-blunt-rochester,https://www.opensecrets.org/members-of-congress/lisa-blunt-rochester/summary?cid=N00038414&cycle=CAREER,,,,,,,,,,,,,,,,,,,,,,,,,"Young, Conaway et al ($166,448); EMILY's List ($103,718); Blue Cross/Blue Shield ($98,671); State of Delaware ($76,667); DuPont Co ($70,682)","Lawyers/Law Firms ($1,220,814); Retired ($1,000,953); Health Professionals ($851,753); Securities & Investment ($750,201); Leadership PACs ($719,083)"
Lauren,Boebert,lauren-boebert,https://www.opensecrets.org/members-of-congress/lauren-boebert/summary?cid=N00045974,,,,,,,,,,,,,,,,,,,,,,,,,"House Freedom Fund ($162,124); Proverbs Media Group ($13,470); Energy Transfer Partners ($13,200); Liberty Media Corp ($13,200); Marcus Foundation ($13,200)","Retired ($1,415,425); Republican/Conservative ($478,317); Leadership PACs ($158,457); Real Estate ($104,910); Candidate Committees ($82,750)"
Suzanne,Bonamici,suzanne-bonamici,https://www.opensecrets.org/members-of-congress/suzanne-bonamici/summary?cid=N00033474,,,,,,,,,,,,,,,,,,,,,,,,,"Service Employees International Union ($20,000); Nike Inc ($15,500); JStreetPAC ($11,890); America's Credit Unions ($10,000); American Assn of Nurse Practitioners ($10,000)","Retired ($90,084); Lawyers/Law Firms ($81,604); Health Professionals ($64,427); Public Sector Unions ($54,750); Building Trade Unions ($29,000)"
Cory A.,Booker,cory-a-booker,https://www.opensecrets.org/members-of-congress/booker-cory/summary?cid=N00035267&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Lowenstein Sandler Llp ($47,601); United Airlines ($46,747); Bain Capital ($45,161); Stanford University ($43,561); NorPAC ($41,200)","Retired ($2,030,527); Securities & Investment ($1,608,632); Lawyers/Law Firms ($1,364,199); Democratic/Liberal ($981,245); Real Estate ($830,357)"
