name_map_first,name_map_last,name_map_middle,name_map_nick,want_state,matched,score,matched_target_key,matched_index_key,bioguide_id_transferred
Donald S.,Beyer,,,Virginia,yes,100,donald s  beyer,donald beyer,B001292
Stephanie I.,Bice,,,Oklahoma,yes,100,stephanie i  bice,stephanie i  bice,B000740
Stephanie I.,Bice,,,Oklahoma,yes,100,stephanie i  bice,stephanie i  bice,B000740
Stephanie I.,Bice,,,Oklahoma,yes,100,stephanie i  bice,stephanie i  bice,B000740
Stephanie I.,Bice,,,Oklahoma,yes,100,stephanie i  bice,stephanie i  bice,B000740
Stephanie I.,Bice,,,Oklahoma,yes,100,stephanie i  bice,stephanie i  bice,B000740
Andy,Biggs,,,Arizona,yes,100,andrew biggs,andrew biggs,B001302
Sheri,Biggs,,,South Carolina,yes,100,sheri biggs,sheri biggs,B001325
Andy,Biggs,,,Arizona,yes,100,andrew biggs,andrew biggs,B001302
Sheri,Biggs,,,South Carolina,yes,100,sheri biggs,sheri biggs,B001325
Andy,Biggs,,,Arizona,yes,100,andrew biggs,andrew biggs,B001302
Sheri,Biggs,,,South Carolina,yes,100,sheri biggs,sheri biggs,B001325
Andy,Biggs,,,Arizona,yes,100,andrew biggs,andrew biggs,B001302
Sheri,Biggs,,,South Carolina,yes,100,sheri biggs,sheri biggs,B001325
Andy,Biggs,,,Arizona,yes,100,andrew biggs,andrew biggs,B001302
Sheri,Biggs,,,South Carolina,yes,100,sheri biggs,sheri biggs,B001325
Gus M.,Bilirakis,,,Florida,yes,100,gus m  bilirakis,gus bilirakis,B001257
Gus M.,Bilirakis,,,Florida,yes,100,gus m  bilirakis,gus bilirakis,B001257
Gus M.,Bilirakis,,,Florida,yes,100,gus m  bilirakis,gus bilirakis,B001257
Gus M.,Bilirakis,,,Florida,yes,100,gus m  bilirakis,gus bilirakis,B001257
Gus M.,Bilirakis,,,Florida,yes,100,gus m  bilirakis,gus bilirakis,B001257
Sanford D.,Bishop,,,Georgia,yes,100,sanford d  bishop,sanford bishop,B000490
Sanford D.,Bishop,,,Georgia,yes,100,sanford d  bishop,sanford bishop,B000490
Sanford D.,Bishop,,,Georgia,yes,100,sanford d  bishop,sanford bishop,B000490
Sanford D.,Bishop,,,Georgia,yes,100,sanford d  bishop,sanford bishop,B000490
Sanford D.,Bishop,,,Georgia,yes,100,sanford d  bishop,sanford bishop,B000490
Marsha,Blackburn,,,Tennessee,yes,100,marsha blackburn,marsha blackburn,B001243
Marsha,Blackburn,,,Tennessee,yes,100,marsha blackburn,marsha blackburn,B001243
Marsha,Blackburn,,,Tennessee,yes,100,marsha blackburn,marsha blackburn,B001243
Marsha,Blackburn,,,Tennessee,yes,100,marsha blackburn,marsha blackburn,B001243
Marsha,Blackburn,,,Tennessee,yes,100,marsha blackburn,marsha blackburn,B001243
Richard,Blumenthal,,,Connecticut,yes,100,dick blumenthal,dick blumenthal,B001277
Richard,Blumenthal,,,Connecticut,yes,100,dick blumenthal,dick blumenthal,B001277
