first_name,last_name,slug_name,slug_url
Andrew S.,Clyde,andrew-s-clyde,https://www.opensecrets.org/members-of-congress/clyde-andrew/summary?cid=N00046654&cycle=2024
Steve,Cohen,steve-cohen,https://www.opensecrets.org/members-of-congress/steve-cohen/summary?cid=N00003225
Tom,Cole,tom-cole,https://www.opensecrets.org/members-of-congress/tom-cole/summary?cid=N00025726
Mike,Collins,mike-collins,https://www.opensecrets.org/members-of-congress/mike-collins/summary?cid=N00035370
Susan M.,Collins,susan-m-collins,https://www.opensecrets.org/members-of-congress/collins-susan-m/summary?cid=N00000491&cycle=2024
James,Comer,james-comer,https://www.opensecrets.org/members-of-congress/james-comer/summary?cid=N00038260
Herbert C.,Conaway,herbert-c-conaway,https://www.opensecrets.org/officeholders/herbert-c-conaway-jr/summary?cycle=2024&id=6389645
Gerald E.,Connolly,gerald-e-connolly,https://www.opensecrets.org/members-of-congress/gerry-connolly/summary?cid=N00029891
Christopher A.,Coons,christopher-a-coons,https://www.opensecrets.org/members-of-congress/chris-coons/summary?cid=N00031820
John,Cornyn,john-cornyn,https://www.opensecrets.org/members-of-congress/cornyn-john/summary?cid=N00024852&cycle=2024
J. Luis,Correa,j-luis-correa,https://www.opensecrets.org/members-of-congress/correa-lou/summary?cid=N00037260&cycle=2024
Catherine,Cortez Masto,catherine-cortez-masto,https://www.opensecrets.org/members-of-congress/catherine-cortez-masto/summary?cid=N00037161
Jim,Costa,jim-costa,https://www.opensecrets.org/members-of-congress/jim-costa/summary?cid=N00026341
Tom,Cotton,tom-cotton,https://www.opensecrets.org/members-of-congress/cotton-tom/summary?cid=N00033363&cycle=2024
Joe,Courtney,joe-courtney,https://www.opensecrets.org/members-of-congress/joe-courtney/summary?cid=N00024842
Angie,Craig,angie-craig,https://www.opensecrets.org/members-of-congress/angie-craig/summary?cid=N00037039
Kevin,Cramer,kevin-cramer,https://www.opensecrets.org/members-of-congress/cramer-kevin/summary?cid=N00004614&cycle=2024
Elijah,Crane,elijah-crane,https://www.opensecrets.org/members-of-congress/crane-eli/summary?cid=N00048953&cycle=2024
Jeff,Crank,jeff-crank,https://www.opensecrets.org/members-of-congress/jeffrey-g-crank/summary?cid=N00028132&cycle=2024
Mike,Crapo,mike-crapo,https://www.opensecrets.org/members-of-congress/mike-crapo/summary?cid=N00006267
"Eric A. ""Rick""",Crawford,eric-a-rick-crawford,https://www.opensecrets.org/members-of-congress/crawford-rick/summary?cid=N00030770&cycle=2024
Dan,Crenshaw,dan-crenshaw,https://www.opensecrets.org/members-of-congress/dan-crenshaw/summary?cid=N00042224
Jasmine,Crockett,jasmine-crockett,https://www.opensecrets.org/members-of-congress/jasmine-crockett/summary?cid=N00049840
Jason,Crow,jason-crow,https://www.opensecrets.org/members-of-congress/jason-crow/summary?cid=N00040876
Ted,Cruz,ted-cruz,https://www.opensecrets.org/members-of-congress/cruz-ted/summary?cid=N00033085&cycle=2024
Henry,Cuellar,henry-cuellar,https://www.opensecrets.org/members-of-congress/henry-cuellar/summary?cid=N00024978
John R.,Curtis,john-r-curtis,https://www.opensecrets.org/members-of-congress/curtis-john/summary?cid=N00041221&cycle=2024
Steve,Daines,steve-daines,https://www.opensecrets.org/members-of-congress/daines-steven/summary?cid=N00033054&cycle=2024
Sharice,Davids,sharice-davids,https://www.opensecrets.org/members-of-congress/sharice-davids/summary?cid=N00042626
Warren,Davidson,warren-davidson,https://www.opensecrets.org/members-of-congress/warren-davidson/summary?cid=N00038767
Danny K.,Davis,danny-k-davis,https://www.opensecrets.org/members-of-congress/davis-danny-k/summary?cid=N00004884&cycle=2024
Donald G.,Davis,donald-g-davis,https://www.opensecrets.org/members-of-congress/davis-don/summary?cid=N00049636&cycle=2024
Monica,De La Cruz,monica-de-la-cruz,https://www.opensecrets.org/members-of-congress/monica-de-la-cruz/summary?cid=N00045793
Madeleine,Dean,madeleine-dean,https://www.opensecrets.org/members-of-congress/madeleine-dean/summary?cid=N00042894
Diana,DeGette,diana-degette,https://www.opensecrets.org/members-of-congress/diana-degette/summary?cid=N00006134
Rosa L.,DeLauro,rosa-l-delauro,https://www.opensecrets.org/members-of-congress/delauro-rosa/summary?cid=N00000615&cycle=2024
Suzan K.,DelBene,suzan-k-delbene,https://www.opensecrets.org/members-of-congress/delbene-suzan/summary?cid=N00030693&cycle=2024
Christopher R.,Deluzio,christopher-r-deluzio,https://www.opensecrets.org/members-of-congress/deluzio-christopher/summary?cid=N00049160&cycle=2024
Mark,DeSaulnier,mark-desaulnier,https://www.opensecrets.org/members-of-congress/mark-desaulnier/summary?cid=N00030709
Scott,DesJarlais,scott-desjarlais,https://www.opensecrets.org/members-of-congress/scott-desjarlais/summary?cid=N00030957
Maxine,Dexter,maxine-dexter,https://www.opensecrets.org/members-of-congress/maxine-dexter/summary?cid=N00054144&cycle=2024
Mario,Diaz-Balart,mario-diaz-balart,https://www.opensecrets.org/members-of-congress/mario-diaz-balart/summary?cid=N00025337
Debbie,Dingell,debbie-dingell,https://www.opensecrets.org/members-of-congress/debbie-dingell/summary?cid=N00036149
Lloyd,Doggett,lloyd-doggett,https://www.opensecrets.org/members-of-congress/lloyd-doggett/summary?cid=N00006023
Byron,Donalds,byron-donalds,https://www.opensecrets.org/members-of-congress/byron-donalds/summary?cid=N00034016
Troy,Downing,troy-downing,https://www.opensecrets.org/members-of-congress/summary?cid=N00041283&cycle=2024
Tammy,Duckworth,tammy-duckworth,https://www.opensecrets.org/members-of-congress/tammy-duckworth/summary?cid=N00027860
Neal P.,Dunn,neal-p-dunn,https://www.opensecrets.org/members-of-congress/dunn-neal/summary?cid=N00037442&cycle=2024
Richard J.,Durbin,richard-j-durbin,https://www.opensecrets.org/members-of-congress/durbin-dick/summary?cid=N00004981&cycle=2024
Chuck,Edwards,chuck-edwards,https://www.opensecrets.org/members-of-congress/chuck-edwards/summary?cid=N00049670
Sarah,Elfreth,sarah-elfreth,https://www.opensecrets.org/members-of-congress/sarah-kelly-elfreth/summary?cid=N00053710&cycle=2024
Jake,Ellzey,jake-ellzey,https://www.opensecrets.org/members-of-congress/jake-ellzey/summary?cid=N00042243
Tom,Emmer,tom-emmer,https://www.opensecrets.org/members-of-congress/tom-emmer/summary?cid=N00035440
Joni,Ernst,joni-ernst,https://www.opensecrets.org/members-of-congress/ernst-joni/summary?cid=N00035483&cycle=2024
Veronica,Escobar,veronica-escobar,https://www.opensecrets.org/members-of-congress/veronica-escobar/summary?cid=N00041702
Adriano,Espaillat,adriano-espaillat,https://www.opensecrets.org/members-of-congress/adriano-espaillat/summary?cid=N00034549
Ron,Estes,ron-estes,https://www.opensecrets.org/members-of-congress/ron-estes/summary?cid=N00040712
Dwight,Evans,dwight-evans,https://www.opensecrets.org/members-of-congress/dwight-evans/summary?cid=N00038450
Gabe,Evans,gabe-evans,https://www.opensecrets.org/members-of-congress/timothy-gabriel-joseph-evans/summary?cid=N00053312&cycle=2024
Mike,Ezell,mike-ezell,https://www.opensecrets.org/members-of-congress/mike-ezell/summary?cid=N00048240
Pat,Fallon,pat-fallon,https://www.opensecrets.org/members-of-congress/fallon-patrick/summary?cid=N00047264&cycle=2024
Julie,Fedorchak,julie-fedorchak,https://www.opensecrets.org/members-of-congress/julie-fedorchak/summary?cid=N00054800&cycle=2024
Randy,Feenstra,randy-feenstra,https://www.opensecrets.org/members-of-congress/randy-feenstra/summary?cid=N00044011
John,Fetterman,john-fetterman,https://www.opensecrets.org/members-of-congress/john-fetterman/summary?cid=N00038201
Cleo,Fields,cleo-fields,https://www.opensecrets.org/members-of-congress/cleo-fields/summary?cid=N00005398&cycle=2024
Shomari,Figures,shomari-figures,https://www.opensecrets.org/members-of-congress/shomari-c-figures/summary?cid=N00053909&cycle=2024
Randy,Fine,randy-fine,https://www.opensecrets.org/officeholders/randy-fine/summary?cycle=2021&id=41676813
Brad,Finstad,brad-finstad,https://www.opensecrets.org/members-of-congress/brad-finstad/summary?cid=N00050649
Michelle,Fischbach,michelle-fischbach,https://www.opensecrets.org/members-of-congress/michelle-fischbach/summary?cid=N00045251
Deb,Fischer,deb-fischer,https://www.opensecrets.org/members-of-congress/fischer-deb/summary?cid=N00033443&cycle=2024
Scott,Fitzgerald,scott-fitzgerald,https://www.opensecrets.org/members-of-congress/scott-fitzgerald/summary?cid=N00045434
Brian K.,Fitzpatrick,brian-k-fitzpatrick,https://www.opensecrets.org/members-of-congress/fitzpatrick-brian/summary?cid=N00038779&cycle=2024
"Charles J. """"Chuck""""""",Fleischmann,charles-j-chuck-fleischmann,https://www.opensecrets.org/members-of-congress/chuck-fleischmann/summary?cid=N00030815
Lizzie,Fletcher,lizzie-fletcher,https://www.opensecrets.org/members-of-congress/lizzie-fletcher/summary?cid=N00041194
Mike,Flood,mike-flood,https://www.opensecrets.org/members-of-congress/mike-flood/summary?cid=N00050145
Vince,Fong,vince-fong,https://www.opensecrets.org/members-of-congress/fong-vince/summary?cid=N00054216&cycle=2024
Bill,Foster,bill-foster,https://www.opensecrets.org/members-of-congress/bill-foster/summary?cid=N00029139
Valerie P.,Foushee,valerie-p-foushee,https://www.opensecrets.org/members-of-congress/valerie-foushee/summary?cid=N00049652
Virginia,Foxx,virginia-foxx,https://www.opensecrets.org/members-of-congress/virginia-foxx/summary?cid=N00026166
Lois,Frankel,lois-frankel,https://www.opensecrets.org/members-of-congress/lois-frankel/summary?cid=N00002893
Scott,Franklin,scott-franklin,https://www.opensecrets.org/members-of-congress/scott-franklin/summary?cid=N00046760
Laura,Friedman,laura-friedman,https://www.opensecrets.org/members-of-congress/fleischmann-chuck/summary?cid=N00030815&cycle=2024
Maxwell,Frost,maxwell-frost,https://www.opensecrets.org/members-of-congress/maxwell-frost/summary?cid=N00049075
Russell,Fry,russell-fry,https://www.opensecrets.org/members-of-congress/russell-fry/summary?cid=N00049165
Russ,Fulcher,russ-fulcher,https://www.opensecrets.org/members-of-congress/russ-fulcher/summary?cid=N00041335
Ruben,Gallego,ruben-gallego,https://www.opensecrets.org/members-of-congress/ruben-gallego/summary?cid=N00036097
John,Garamendi,john-garamendi,https://www.opensecrets.org/members-of-congress/john-garamendi/summary?cid=N00030856
Andrew R.,Garbarino,andrew-r-garbarino,https://www.opensecrets.org/members-of-congress/garbarino-andrew/summary?cid=N00046030&cycle=2024
Robert,Garcia,robert-garcia,https://www.opensecrets.org/members-of-congress/robert-garcia/summary?cid=N00049470
Sylvia R.,Garcia,sylvia-r-garcia,https://www.opensecrets.org/members-of-congress/garcia-sylvia/summary?cid=N00042282&cycle=2024
"Jesus G. """"Chuy""""""",García,jess-g-chuy-garca,https://www.opensecrets.org/members-of-congress/jesus-garcia/summary?cid=N00042114
Brandon,Gill,brandon-gill,https://www.opensecrets.org/members-of-congress/brandon-gill/summary?cid=N00054402&cycle=2024
Laura,Gillen,laura-gillen,https://www.opensecrets.org/members-of-congress/laura-gillen/summary?cid=N00050425
Kirsten E.,Gillibrand,kirsten-e-gillibrand,https://www.opensecrets.org/members-of-congress/gillibrand-kirsten/summary?cid=N00027658&cycle=2024
Carlos A.,Gimenez,carlos-a-gimenez,https://www.opensecrets.org/members-of-congress/gimenez-carlos/summary?cid=N00046394&cycle=2024
Jared F.,Golden,jared-f-golden,https://www.opensecrets.org/members-of-congress/golden-jared/summary?cid=N00041668&cycle=2024
Craig A.,Goldman,craig-a-goldman,https://www.opensecrets.org/officeholders/craig-goldman/summary?cycle=2023&id=11022498
Daniel S.,Goldman,daniel-s-goldman,https://www.opensecrets.org/members-of-congress/goldman-dan/summary?cid=N00051424&cycle=2024
Jimmy,Gomez,jimmy-gomez,https://www.opensecrets.org/members-of-congress/jimmy-gomez/summary?cid=N00040597
Tony,Gonzales,tony-gonzales,https://www.opensecrets.org/members-of-congress/tony-gonzales/summary?cid=N00044592
Vicente,Gonzalez,vicente-gonzalez,https://www.opensecrets.org/members-of-congress/vicente-gonzalez/summary?cid=N00038809
Lance,Gooden,lance-gooden,https://www.opensecrets.org/members-of-congress/lance-gooden/summary?cid=N00042237
Maggie,Goodlander,maggie-goodlander,https://www.opensecrets.org/members-of-congress/maggie-goodlander/summary?cid=N00055218&cycle=2024
