first_name,last_name,current_net_worth,normalized_net_worth
Jodey,Arrington,$833.00K,"$833,000"
Abraham,Hamadeh,$833.00K,"$833,000"
Delia,Ramirez,$825.00K,"$825,000"
Joe,Neguse,$825.00K,"$825,000"
W.,Steube,$822.26K,"$822,260"
Joni,Ernst,$818.61K,"$818,610"
Jill,Tokuda,$807.73K,"$807,730"
Morgan,Luttrell,$804.99K,"$804,990"
James,Lankford,$796.37K,"$796,370"
Sylvia,Garcia,$793.50K,"$793,500"
Nathaniel,Moran,$772.63K,"$772,630"
Andrea,Salinas,$761.40K,"$761,400"
Roger,Wicker,$754.23K,"$754,230"
Nydia,Velázquez,$750.00K,"$750,000"
Michelle,Fischbach,$736.50K,"$736,500"
John,Thune,$735.82K,"$735,820"
Raul,Ruiz,$732.50K,"$732,500"
Ryan,Mackenzie,$723.44K,"$723,440"
Ben,Cline,$715.50K,"$715,500"
David,Schweikert,$703.50K,"$703,500"
Emanuel,Cleaver,$688.50K,"$688,500"
Lance,Gooden,$682.29K,"$682,290"
Andrew,Ogles,$673.00K,"$673,000"
LaMonica,McIver,$673.00K,"$673,000"
Tom,Cotton,$669.53K,"$669,530"
H.,Griffith,$665.50K,"$665,500"
Ritchie,Torres,$658.15K,"$658,150"
Seth,Magaziner,$651.47K,"$651,470"
Veronica,Escobar,$641.50K,"$641,500"
Adam,Smith,$633.15K,"$633,150"
Scott,DesJarlais,$628.21K,"$628,210"
Riley,Moore,$626.02K,"$626,020"
Johnny,Olszewski,$620.19K,"$620,190"
Martin,Heinrich,$613.00K,"$613,000"
Juan,Ciscomani,$609.56K,"$609,560"
Joseph,Morelle,$605.61K,"$605,610"
Hillary,Scholten,$594.45K,"$594,450"
Kat,Cammack,$592.80K,"$592,800"
Anna Paulina,Luna,$590.50K,"$590,500"
Hakeem,Jeffries,$586.19K,"$586,190"
Janice,Schakowsky,$586.00K,"$586,000"
Angela,Alsobrooks,$558.00K,"$558,000"
James,Moylan,$549.00K,"$549,000"
Debbie,Schultz,$544.33K,"$544,330"
Emilia,Sykes,$538.50K,"$538,500"
Terri,Sewell,$524.68K,"$524,680"
John,Moolenaar,$524.50K,"$524,500"
Jeff,Hurd,$521.55K,"$521,550"
Rashida,Tlaib,$490.50K,"$490,500"
Mike,Bost,$480.96K,"$480,960"
Danny,Davis,$480.14K,"$480,140"
Elissa,Slotkin,$462.71K,"$462,710"
Trent,Kelly,$457.50K,"$457,500"
John,Mannion,$456.00K,"$456,000"
Mark,Alford,$453.13K,"$453,130"
Michael,Cloud,$450.50K,"$450,500"
Pablo,Hernández,$447.05K,"$447,050"
George,Latimer,$445.71K,"$445,710"
Nick,LaLota,$441.75K,"$441,750"
Gabe,Evans,$439.50K,"$439,500"
Bill,Cassidy,$431.50K,"$431,500"
Sharice,Davids,$431.00K,"$431,000"
Tom,Barrett,$422.41K,"$422,410"
Mark,Amodei,$415.50K,"$415,500"
Eric,Swalwell,$415.50K,"$415,500"
Adriano,Espaillat,$415.50K,"$415,500"
Herbert,Conaway,$415.00K,"$415,000"
Tim,Walberg,$410.18K,"$410,180"
Alma,Adams,$407.50K,"$407,500"
Michael,Turner,$399.27K,"$399,270"
Darin,LaHood,$398.50K,"$398,500"
Jimmy,Panetta,$398.50K,"$398,500"
Mike,Lee,$390.50K,"$390,500"
Troy,Balderson,$382.50K,"$382,500"
Russ,Fulcher,$381.00K,"$381,000"
Troy,Nehls,$378.50K,"$378,500"
Steve,Womack,$365.00K,"$365,000"
Guy,Reschenthaler,$347.00K,"$347,000"
Richard,Hudson,$344.00K,"$344,000"
Robert,Garcia,$333.00K,"$333,000"
Mark,Takano,$332.00K,"$332,000"
Eugene,Vindman,$327.62K,"$327,620"
Glenn,Thompson,$320.00K,"$320,000"
Jack,Reed,$317.84K,"$317,840"
Jason,Crow,$317.64K,"$317,640"
Thomas,Tiffany,$296.00K,"$296,000"
James,Clyburn,$285.25K,"$285,250"
Jim,Jordan,$282.50K,"$282,500"
Mark,DeSaulnier,$258.00K,"$258,000"
Andrew,Garbarino,$250.70K,"$250,700"
Nicholas,Langworthy,$248.06K,"$248,060"
Christopher,Smith,$240.00K,"$240,000"
Haley,Stevens,$235.87K,"$235,870"
Timothy,Kennedy,$231.00K,"$231,000"
Lateefah,Simon,$228.79K,"$228,790"
Pete,Aguilar,$218.00K,"$218,000"
Richard,Neal,$217.00K,"$217,000"
Josh,Brecheen,$207.50K,"$207,500"
Valerie,Foushee,$207.50K,"$207,500"
Yvette,Clarke,$207.50K,"$207,500"
Frank,Mrvan,$199.00K,"$199,000"
Sanford,Jr.,$198.50K,"$198,500"
Aumua,Radewagen,$193.00K,"$193,000"
Tony,Gonzales,$190.00K,"$190,000"
Melanie,Stansbury,$175.00K,"$175,000"
Jahana,Hayes,$175.00K,"$175,000"
Michael,Lawler,$170.36K,"$170,360"
Nikema,Williams,$164.00K,"$164,000"
Marc,Veasey,$163.17K,"$163,170"
Raúl,Grijalva,$158.50K,"$158,500"
Beth,Duyne,$145.66K,"$145,660"
Ruben,Gallego,$121.50K,"$121,500"
Jared,Golden,$121.00K,"$121,000"
Norma,Torres,$115.50K,"$115,500"
Sheila,Cherfilus-McCormick,$115.50K,"$115,500"
Emily,Randall,$112.73K,"$112,730"
Barry,Loudermilk,$107.50K,"$107,500"
Derrick,Orden,$99.00K,"$99,000"
Steven,Horsford,$97.50K,"$97,500"
Todd,Young,$91.00K,"$91,000"
Lauren,Underwood,$89.50K,"$89,500"
Randy,Feenstra,$89.00K,"$89,000"
Alex,Padilla,$84.31K,"$84,310"
Eric,Sorensen,$83.00K,"$83,000"
Lauren,Boebert,$83.00K,"$83,000"
Mario,Diaz-Balart,$81.02K,"$81,020"
Gabe,Amo,$74.02K,"$74,020"
Russell,Fry,$69.96K,"$69,960"
Kevin,Kiley,$56.50K,"$56,500"
Alexandria,Ocasio-Cortez,$49.00K,"$49,000"
Tom,McClintock,$43.82K,"$43,820"
Tim,Burchett,$41.55K,"$41,550"
Donald,Davis,$40.50K,"$40,500"
Robin,Kelly,$40.50K,"$40,500"
Paul,Tonko,$32.50K,"$32,500"
André,Carson,$32.50K,"$32,500"
Henry,Jr.,$32.50K,"$32,500"
Shontel,Brown,$32.00K,"$32,000"
Gabe,Vasquez,$24.00K,"$24,000"
Celeste,Maloy,$24.00K,"$24,000"
Jasmine,Crockett,$22.01K,"$22,010"
Mike,Ezell,$16.00K,"$16,000"
Burgess,Owens,$16.00K,"$16,000"
Steve,Scalise,$8.00K,"$8,000"
Sarah,Elfreth,$8.00K,"$8,000"
