first_name,last_name,current_net_worth,normalized_net_worth,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
Richard,McCormick,$1.28M,"$1,280,000",https://www.opensecrets.org/members-of-congress/richard-mccormick/summary?cid=N00044520,"Cox Enterprises ($20,700); Mesa Capital Partners ($19,000); Insight Sourcing Group ($16,500); Home Depot ($15,000); Wilheit Packaging ($13,500)","Human Rights ($309,046); Retired ($300,617); Republican/Conservative ($280,670); Real Estate ($145,444); Health Professionals ($132,685)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Mike,Carey,$1.27M,"$1,270,000",https://www.opensecrets.org/members-of-congress/mike-carey/summary?cid=N00048568,"American Israel Public Affairs Cmte ($34,150); Nationwide ($21,900); Select Medical Corp ($18,300); Dci Group ($17,700); New York Life Insurance ($15,250)","Insurance ($180,926); Lobbyists ($162,730); Real Estate ($147,476); Lawyers/Law Firms ($120,820); Oil & Gas ($120,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Daniel,Webster,$1.25M,"$1,250,000",https://www.opensecrets.org/members-of-congress/daniel-webster/summary?cid=N00026335,"American Israel Public Affairs Cmte ($49,550); Frontline Homeowners Insurance ($29,700); Sea & Shoreline LLC ($26,500); Melaleuca Inc ($26,400); Florida Crystals ($18,200)","Leadership PACs ($89,800); Real Estate ($79,229); Retired ($75,880); Securities & Investment ($68,792); Pro-Israel ($59,962)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Henry,Cuellar,$1.23M,"$1,230,000",https://www.opensecrets.org/members-of-congress/henry-cuellar/summary?cid=N00024978,"American Israel Public Affairs Cmte ($48,600); Select Dedicated Solutions ($26,400); AmeriPAC: The Fund for a Greater America ($24,700); GEO Group ($24,200); Border Health ($20,000)","Oil & Gas ($189,146); Securities & Investment ($133,200); Lobbyists ($104,896); Pro-Israel ($99,100); Health Professionals ($91,670)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
John,McGuire,$1.20M,"$1,200,000",,,,,,,,,
Robert,Menendez,$1.19M,"$1,190,000",https://www.opensecrets.org/members-of-congress/menendez-rob/summary?cid=N00049686&cycle=2024,"American Israel Public Affairs Cmte ($235,430); Lowenstein Sandler Llp ($35,050); Blackstone Group ($19,800); Ironstate Holdings ($19,200); Urby LLC ($16,600)","Pro-Israel ($256,118); Lawyers/Law Firms ($226,686); Real Estate ($164,260); Lobbyists ($146,812); Leadership PACs ($138,102)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Bernard,Sanders,$1.15M,"$1,150,000",https://www.opensecrets.org/members-of-congress/sanders-bernie/summary?cid=N00000528&cycle=2024,"Google Inc ($50,918); Kaiser Permanente ($40,261); Apple Inc ($38,108); Amazon.com ($35,135); US Postal Service ($34,482)","Retired ($2,572,733); Education ($1,693,183); Health Professionals ($885,848); Civil Servants/Public Officials ($585,447); Democratic/Liberal ($468,876)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
John,Rutherford,$1.15M,"$1,150,000",https://www.opensecrets.org/members-of-congress/rutherford-john/summary?cid=N00039777&cycle=2024,"Ring Power Corp ($13,200); RTX Corp ($10,500); Holland & Knight ($10,250); American Israel Public Affairs Cmte ($10,000); American Sportfishing Assn ($10,000)","Lobbyists ($66,700); Misc Defense ($64,300); Real Estate ($62,460); Air Transport ($60,500); Defense Aerospace ($51,600)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Nellie,Pou,$1.14M,"$1,140,000",https://www.opensecrets.org/officeholders/nellie-pou/summary?cycle=2017&id=6749723,"Organization unavailable for these records ($18,358); Operating Engineers Local 825 ($13,900); National Assn Of Realtors ($9,926); Laborers Union ($8,200); Horizon Blue Cross Blue Shield Of New Jersey ($7,200)","Building Trade Unions ($30,525); Non-contribution ($18,358); Real Estate ($13,551); Health Professionals ($13,550); Insurance ($12,025)",2017,2017,2017,2017,2017,2017
Marsha,Blackburn,$1.14M,"$1,140,000",https://www.opensecrets.org/members-of-congress/blackburn-marsha/summary?cid=N00003105&cycle=2024,"American Israel Public Affairs Cmte ($303,547); Tractor Supply Co ($58,600); HCA Inc ($47,317); FedEx Corp ($44,171); NorPAC ($42,000)","Republican/Conservative ($6,636,331); Retired ($3,491,528); Real Estate ($986,193); Securities & Investment ($943,747); Health Professionals ($614,392)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Erin,Houchin,$1.13M,"$1,130,000",https://www.opensecrets.org/members-of-congress/erin-houchin/summary?cid=N00037427,"Geo Pfau's Sons ($19,800); Kiesler Police Supply ($17,000); Barnes & Thornburg ($13,900); Apollo Global Management ($12,800); Elwood Staffing ($12,400)","Securities & Investment ($201,831); Insurance ($122,350); Real Estate ($89,035); Commercial Banks ($83,300); Leadership PACs ($81,500)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Kirsten,Gillibrand,$1.13M,"$1,130,000",https://www.opensecrets.org/members-of-congress/gillibrand-kirsten/summary?cid=N00027658&cycle=2024,"American Israel Public Affairs Cmte ($480,614); Corning Inc ($154,116); Davis, Polk & Wardwell ($128,529); Latham & Watkins ($73,380); Boies, Schiller & Flexner ($63,009)","Securities & Investment ($1,603,206); Lawyers/Law Firms ($1,481,179); Retired ($1,242,336); Pro-Israel ($610,771); Real Estate ($484,175)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Monica,Cruz,$1.12M,"$1,120,000",,,,,,,,,
Cory,Booker,$1.12M,"$1,120,000",https://www.opensecrets.org/members-of-congress/booker-cory/summary?cid=N00035267&cycle=2024,"Bain Capital ($56,722); Lowenstein Sandler Llp ($47,601); Stanford University ($47,164); United Airlines ($44,170); NorPAC ($41,200)","Retired ($2,082,346); Securities & Investment ($1,620,818); Lawyers/Law Firms ($1,409,856); Democratic/Liberal ($980,630); Real Estate ($883,480)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Kevin,Mullin,$1.12M,"$1,120,000",https://www.opensecrets.org/members-of-congress/kevin-mullin/summary?cid=N00049438,"Gilead Sciences ($21,000); Artichoke Joe'S ($16,500); Skyknight Capital ($13,200); American Crystal Sugar ($10,000); American Federation of State/Cnty/Munic Employees ($10,000)","Pharmaceuticals/Health Products ($126,826); Building Trade Unions ($47,500); Casinos/Gambling ($40,300); Lawyers/Law Firms ($33,799); Public Sector Unions ($30,503)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Laura,Friedman,$1.11M,"$1,110,000",https://www.opensecrets.org/members-of-congress/fleischmann-chuck/summary?cid=N00030815&cycle=2024,"McKee Foods ($40,300); Oak Ridge National Laboratory ($35,050); DeRoyal Industries ($26,400); Nuscale Power ($19,300); Fluor Corp ($17,600)","Electric Utilities ($160,400); Lobbyists ($98,350); Misc Defense ($76,800); Health Professionals ($73,828); Lawyers/Law Firms ($59,205)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Kweisi,Mfume,$1.10M,"$1,100,000",https://www.opensecrets.org/members-of-congress/kweisi-mfume/summary?cid=N00001799,"American Israel Public Affairs Cmte ($11,000); American Crystal Sugar ($10,000); American Federation of State/Cnty/Munic Employees ($10,000); Home Depot ($10,000); Machinists/Aerospace Workers Union ($10,000)","Public Sector Unions ($53,500); Pro-Israel ($30,750); Building Trade Unions ($30,000); Transportation Unions ($25,000); Misc Unions ($20,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Bruce,Westerman,$1.09M,"$1,090,000",https://www.opensecrets.org/members-of-congress/bruce-westerman/summary?cid=N00035527,"Mewbourne Oil Co ($30,061); Pafford Ems ($26,900); American Israel Public Affairs Cmte ($22,146); ConocoPhillips ($16,800); Flywheel Energy ($16,600)","Oil & Gas ($354,262); Casinos/Gambling ($193,800); Forestry & Forest Products ($167,599); Electric Utilities ($122,500); Retired ($108,213)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Brian,Jack,$1.09M,"$1,090,000",https://www.opensecrets.org/members-of-congress/brian-jack/summary?cid=N00055118&cycle=2024,"American Israel Public Affairs Cmte ($95,752); BGR Group ($36,734); Club for Growth ($30,500); Pace-O-Matic Inc ($26,670); AFLAC Inc ($24,462)","Leadership PACs ($407,700); Retired ($187,550); Pro-Israel ($165,314); Lobbyists ($129,915); Securities & Investment ($115,287)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Marcy,Kaptur,$1.07M,"$1,070,000",https://www.opensecrets.org/members-of-congress/marcy-kaptur/summary?cid=N00003522,"JStreetPAC ($54,900); AmeriPAC: The Fund for a Greater America ($42,482); Swing Left ($28,606); Rms Investment Group ($28,400); Fair Shot PAC ($28,200)","Retired ($487,334); Leadership PACs ($384,909); Securities & Investment ($344,861); Democratic/Liberal ($256,599); Lawyers/Law Firms ($193,123)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Stephen,Lynch,$1.06M,"$1,060,000",https://www.opensecrets.org/members-of-congress/lynch-stephen/summary?cid=N00013855&cycle=2024,"National Development Inc ($12,000); Air Line Pilots Assn ($10,000); American Crystal Sugar ($10,000); American Federation of State/Cnty/Munic Employees ($10,000); Carpenters & Joiners Union ($10,000)","Real Estate ($116,500); Public Sector Unions ($55,500); Building Trade Unions ($47,000); Transportation Unions ($42,351); Lawyers/Law Firms ($35,850)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Eric,Burlison,$1.03M,"$1,030,000",https://www.opensecrets.org/members-of-congress/eric-burlison/summary?cid=N00049123,"Hunter Engineering ($26,400); Ameren Corp ($10,000); Cigna Corp ($10,000); CVS Health ($10,000); Elevance Health ($10,000)","Automotive ($62,970); Retired ($50,429); Leadership PACs ($47,500); Health Professionals ($41,044); Railroads ($37,110)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Jack,Bergman,$1.01M,"$1,010,000",https://www.opensecrets.org/members-of-congress/bergman-john/summary?cid=N00039533&cycle=2024,"MIT45 Inc ($33,100); American Israel Public Affairs Cmte ($27,250); Oracle Corp ($21,600); RDV Corp ($19,800); Veterans Guardian VA Claim Consulting ($16,200)","Retired ($164,811); Republican/Conservative ($94,956); Leadership PACs ($76,300); Health Professionals ($73,347); Defense Aerospace ($72,750)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Eric,Schmitt,$1.00M,"$1,000,000",https://www.opensecrets.org/members-of-congress/eric-schmitt/summary?cid=N00048414,"Senate Conservatives Fund ($113,786); Herzog Contracting ($68,000); Husch Blackwell LLP ($59,035); Enterprise Mobility ($57,915); National Republican Senatorial Cmte ($51,200)","Retired ($961,010); Securities & Investment ($501,853); Republican/Conservative ($490,078); Real Estate ($404,230); Lawyers/Law Firms ($377,632)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Salud,Carbajal,$973.50K,"$973,500",https://www.opensecrets.org/members-of-congress/carbajal-salud/summary?cid=N00037015&cycle=2024,"Tiger Moon Group ($19,800); Edge Autonomy ($16,500); Advanced Scientific Concepts ($13,200); Gilbert & Jacki Cisneros Foundation ($13,200); Grotenhuis Investments ($13,200)","Retired ($238,267); Democratic/Liberal ($228,920); Real Estate ($96,735); Securities & Investment ($65,850); Transportation Unions ($62,312)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Adam,Gray,$965.50K,"$965,500",https://www.opensecrets.org/members-of-congress/adam-gray/summary?cid=N00050061,"AmeriPAC: The Fund for a Greater America ($49,400); Swing Left ($46,075); Digidems PAC ($45,400); Google Inc ($38,551); E&J Gallo Winery ($36,300)","Retired ($816,602); Democratic/Liberal ($673,117); Securities & Investment ($495,898); Leadership PACs ($330,767); Lawyers/Law Firms ($297,573)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Marie,Perez,$965.00K,"$965,000",,,,,,,,,
Nikki,Budzinski,$952.00K,"$952,000",https://www.opensecrets.org/members-of-congress/nikki-budzinski/summary?cid=N00049102,"State of Illinois ($71,520); JStreetPAC ($48,915); Simmons Hanly Conroy ($46,600); American Israel Public Affairs Cmte ($40,704); Marquis Energy ($32,300)","Lawyers/Law Firms ($395,057); Leadership PACs ($314,305); Securities & Investment ($254,777); Retired ($224,913); Lobbyists ($166,847)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
David,Rouzer,$935.21K,"$935,210",https://www.opensecrets.org/members-of-congress/david-rouzer/summary?cid=N00033527,"Altria Group ($23,200); American Israel Public Affairs Cmte ($18,002); Old Dominion Freight Line ($16,870); Live Oak Bank ($14,100); Trans-Global Solutions ($13,200)","Retired ($142,581); Real Estate ($113,929); Lobbyists ($101,657); Crop Production & Basic Processing ($88,791); Agricultural Services/Products ($78,582)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Tammy,Baldwin,$933.00K,"$933,000",https://www.opensecrets.org/members-of-congress/baldwin-tammy/summary?cid=N00004367&cycle=2024,"University of Wisconsin/Madison ($344,857); JStreetPAC ($221,291); EMILY's List ($199,074); University Of Wisconsin ($178,365); Google Inc ($102,969)","Retired ($12,000,601); Democratic/Liberal ($2,563,303); Education ($2,522,910); Lawyers/Law Firms ($2,252,714); Securities & Investment ($1,617,259)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Brian,Mast,$925.50K,"$925,500",https://www.opensecrets.org/members-of-congress/mast-brian/summary?cid=N00037269&cycle=2024,"American Israel Public Affairs Cmte ($197,661); NextGen Management ($26,400); Investments Ltd ($13,200); Trident Capital ($13,200); Carlyle Group ($11,500)","Retired ($818,970); Republican/Conservative ($464,012); Human Rights ($274,509); Pro-Israel ($259,069); Real Estate ($105,380)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Christopher,Murphy,$904.00K,"$904,000",https://www.opensecrets.org/members-of-congress/murphy-christopher-s/summary?cid=N00027566&cycle=2024,"Yale University ($105,385); Elliott Management ($89,300); Paul, Weiss et al ($75,191); Scott & Scott ($54,300); State of Connecticut ($51,680)","Retired ($3,047,477); Securities & Investment ($1,059,673); Lawyers/Law Firms ($1,034,302); Education ($592,599); Health Professionals ($464,762)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Kevin,Cramer,$896.00K,"$896,000",https://www.opensecrets.org/members-of-congress/cramer-kevin/summary?cid=N00004614&cycle=2024,"American Israel Public Affairs Cmte ($251,927); Energy Transfer Partners ($46,200); Hess Corp ($42,500); Curaleaf Inc ($34,805); Brownstein, Hyatt et al ($30,016)","Retired ($846,005); Securities & Investment ($531,744); Oil & Gas ($502,665); Real Estate ($382,453); Leadership PACs ($366,000)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Ron,Estes,$858.35K,"$858,350",https://www.opensecrets.org/members-of-congress/ron-estes/summary?cid=N00040712,"NorPAC ($18,200); ICM Inc (Kansas) ($17,500); Watco Companies ($15,500); American Council of Engineering Cos ($15,250); Spirit Aerosystems ($15,000)","Health Professionals ($157,800); Insurance ($141,556); Air Transport ($111,700); Oil & Gas ($111,700); Real Estate ($109,825)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Brittany,Pettersen,$855.00K,"$855,000",https://www.opensecrets.org/members-of-congress/brittany-pettersen/summary?cid=N00040878,"American Israel Public Affairs Cmte ($34,610); Apollo Global Management ($22,500); Coinbase ($20,021); Andreessen Horowitz ($19,800); Scaled Agile ($16,500)","Securities & Investment ($322,998); Retired ($205,241); Insurance ($135,458); Real Estate ($116,186); Commercial Banks ($104,477)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Randy,Sr.,$852.50K,"$852,500",,,,,,,,,
Darren,Soto,$833.00K,"$833,000",https://www.opensecrets.org/members-of-congress/darren-soto/summary?cid=N00037422,"American Israel Public Affairs Cmte ($159,290); GuideWell ($20,000); GrayRobinson PA ($17,000); Service Employees International Union ($15,000); Amscot Financial ($12,500)","Pro-Israel ($182,532); Health Professionals ($148,995); Leadership PACs ($117,618); Lawyers/Law Firms ($108,404); Securities & Investment ($89,218)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Jodey,Arrington,$833.00K,"$833,000",https://www.opensecrets.org/members-of-congress/arrington-jodey/summary?cid=N00038285&cycle=2024,"GRAIL Inc ($33,200); Charter Brokerage LLC ($28,800); American Israel Public Affairs Cmte ($22,358); Simflo ($19,800); Madera Residential ($15,650)","Oil & Gas ($215,096); Real Estate ($212,168); Securities & Investment ($191,800); Crop Production & Basic Processing ($174,700); Insurance ($172,370)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Abraham,Hamadeh,$833.00K,"$833,000",https://www.opensecrets.org/members-of-congress/industries?cid=N00053795&cycle=2024,,"Retired ($440,078); Real Estate ($119,449); Leadership PACs ($84,600); Securities & Investment ($84,538); Republican/Conservative ($56,549)",,,,2023,2024,2023 - 2024
Delia,Ramirez,$825.00K,"$825,000",https://www.opensecrets.org/members-of-congress/ramirez-delia/summary?cid=N00049548&cycle=2024,"Service Employees International Union ($15,275); Working Families Party ($10,026); United Auto Workers ($10,006); American Federation of State/Cnty/Munic Employees ($10,000); Carpenters & Joiners Union ($10,000)","Democratic/Liberal ($70,424); Health Professionals ($63,790); Building Trade Unions ($58,000); Leadership PACs ($54,000); Retired ($51,841)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Joe,Neguse,$825.00K,"$825,000",https://www.opensecrets.org/members-of-congress/neguse-joseph/summary?cid=N00041080&cycle=2024,"American Israel Public Affairs Cmte ($139,910); Holland & Hart ($30,725); Brownstein, Hyatt et al ($27,975); Elevations Credit Union ($25,975); Service Employees International Union ($20,000)","Retired ($203,287); Real Estate ($185,578); Securities & Investment ($179,258); Lawyers/Law Firms ($161,160); Pro-Israel ($152,860)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
W.,Steube,$822.26K,"$822,260",,,,,,,,,
Joni,Ernst,$818.61K,"$818,610",https://www.opensecrets.org/members-of-congress/ernst-joni/summary?cid=N00035483&cycle=2024,"NorPAC ($70,570); Blackstone Group ($64,200); Apollo Global Management ($58,650); RTX Corp ($53,512); Capital Group ($45,825)","Retired ($8,317,155); Republican/Conservative ($2,641,543); Securities & Investment ($1,787,256); Real Estate ($1,335,855); Health Professionals ($722,821)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Jill,Tokuda,$807.73K,"$807,730",https://www.opensecrets.org/members-of-congress/tokuda-jill/summary?cid=N00051049&cycle=2024,"Matson Inc ($22,300); Privateer Space ($13,200); University of Hawaii ($13,092); Alpha Inc ($11,900); American Federation of State/Cnty/Munic Employees ($10,000)","Retired ($57,483); Real Estate ($50,431); Health Professionals ($41,709); Transportation Unions ($41,000); Lawyers/Law Firms ($40,473)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Morgan,Luttrell,$804.99K,"$804,990",https://www.opensecrets.org/members-of-congress/morgan-luttrell/summary?cid=N00048776,"American Israel Public Affairs Cmte ($23,600); CGX Energy ($13,200); National Cattlemen's Beef Assn ($13,000); Steely Lumber ($11,600); Koch Inc ($10,000)","Retired ($575,063); Oil & Gas ($110,264); Real Estate ($77,949); Health Professionals ($54,692); Securities & Investment ($43,106)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
James,Lankford,$796.37K,"$796,370",https://www.opensecrets.org/members-of-congress/james-lankford/summary?cid=N00031129,"Pro-Israel America PAC ($167,600); Williams Companies ($54,500); National Republican Senatorial Cmte ($51,200); NorPAC ($39,950); Apollo Global Management ($29,500)","Oil & Gas ($544,781); Securities & Investment ($461,187); Retired ($452,087); Leadership PACs ($445,199); Real Estate ($360,628)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Sylvia,Garcia,$793.50K,"$793,500",https://www.opensecrets.org/members-of-congress/garcia-sylvia/summary?cid=N00042282&cycle=2024,"American Israel Public Affairs Cmte ($22,333); Service Employees International Union ($20,000); America's Credit Unions ($10,000); American Assn for Justice ($10,000); American Crystal Sugar ($10,000)","Oil & Gas ($80,000); Commercial Banks ($60,500); Lawyers/Law Firms ($57,710); Real Estate ($55,350); Building Trade Unions ($46,500)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Nathaniel,Moran,$772.63K,"$772,630",https://www.opensecrets.org/members-of-congress/nathaniel-moran/summary?cid=N00049775,"American Israel Public Affairs Cmte ($29,600); Peltier Kia ($26,400); Drake ($19,800); Energy Weldfab Inc ($19,800); Citizens First Bank ($13,700)","Retired ($93,290); Leadership PACs ($63,300); Oil & Gas ($56,301); Automotive ($51,738); Lawyers/Law Firms ($40,200)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Andrea,Salinas,$761.40K,"$761,400",https://www.opensecrets.org/members-of-congress/andrea-salinas/summary?cid=N00049738,"EMILY's List ($133,864); JStreetPAC ($88,829); American Israel Public Affairs Cmte ($82,450); Digidems PAC ($31,450); State of Oregon ($23,361)","Retired ($629,025); Leadership PACs ($401,324); Democratic/Liberal ($261,024); Lawyers/Law Firms ($218,128); Securities & Investment ($213,785)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Roger,Wicker,$754.23K,"$754,230",https://www.opensecrets.org/members-of-congress/wicker-roger/summary?cid=N00003280&cycle=2024,"American Israel Public Affairs Cmte ($339,103); Lockheed Martin ($70,625); Civil-Military Innovation Institute ($59,364); Horne LLP ($52,200); BGR Group ($46,500)","Securities & Investment ($597,232); Retired ($473,706); Lobbyists ($448,616); Leadership PACs ($448,000); Pro-Israel ($406,089)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Nydia,Velázquez,$750.00K,"$750,000",https://www.opensecrets.org/members-of-congress/velazquez-nydia/summary?cid=N00001102&cycle=2024,"JStreetPAC ($11,240); American Federation of State/Cnty/Munic Employees ($10,000); Machinists/Aerospace Workers Union ($10,000); National Assn of Govt Guaranteed Lenders ($10,000); National Assn of Realtors ($10,000)","Securities & Investment ($48,200); Real Estate ($39,545); Retired ($21,241); Public Sector Unions ($18,000); Food Processing & Sales ($15,700)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Michelle,Fischbach,$736.50K,"$736,500",https://www.opensecrets.org/members-of-congress/michelle-fischbach/summary?cid=N00045251,"American Israel Public Affairs Cmte ($30,250); Marquis Energy ($20,000); King Capital Corp ($19,800); Poet LLC ($16,600); Hubbard Broadcasting ($15,258)","Retired ($185,556); Leadership PACs ($128,400); Crop Production & Basic Processing ($109,686); Insurance ($88,002); Securities & Investment ($87,545)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
John,Thune,$735.82K,"$735,820",https://www.opensecrets.org/members-of-congress/john-thune/summary?cid=N00004572,"American Israel Public Affairs Cmte ($122,100); Sanford Health ($95,552); CAPITAL GROUP ($67,600); Brownstein, Hyatt et al ($52,460); Delta Air Lines ($52,210)","Securities & Investment ($1,178,676); Retired ($911,923); Real Estate ($823,445); Leadership PACs ($457,500); Lobbyists ($437,704)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Raul,Ruiz,$732.50K,"$732,500",https://www.opensecrets.org/members-of-congress/raul-ruiz/summary?cid=N00033510,"American Israel Public Affairs Cmte ($73,717); US Acute Care Solutions ($31,750); DaVita Inc ($27,050); JStreetPAC ($21,450); St George'S University ($19,800)","Health Professionals ($518,967); Pharmaceuticals/Health Products ($136,972); Retired ($131,863); Lawyers/Law Firms ($120,657); Casinos/Gambling ($107,375)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ryan,Mackenzie,$723.44K,"$723,440",https://www.opensecrets.org/members-of-congress/ryan-mackenzie/summary?cid=N00041866&cycle=2024,"Republican Jewish Coalition ($13,800); Mountaire Corp ($13,200); Lehigh Valley Water Systems ($11,350); Commonwealth of Pennsylvania ($11,316); Archer Auto Group ($11,281)","Retired ($275,685); Leadership PACs ($205,959); Securities & Investment ($129,887); Real Estate ($109,938); Republican/Conservative ($98,499)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ben,Cline,$715.50K,"$715,500",https://www.opensecrets.org/members-of-congress/ben-cline/summary?cid=N00042296,"American Israel Public Affairs Cmte ($22,501); Dynamic Aviation ($16,600); House Freedom Fund ($13,850); Moss & Rocovich ($13,450); National Assn of Broadcasters ($12,300)","Retired ($95,124); Republican/Conservative ($46,675); Telecom Services ($44,000); Real Estate ($43,491); TV/Movies/Music ($38,800)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
David,Schweikert,$703.50K,"$703,500",https://www.opensecrets.org/members-of-congress/david-schweikert/summary?cid=N00006460,"Club for Growth ($83,295); American Israel Public Affairs Cmte ($75,751); Club for Growth Action ($32,359); Stenson Tamaddon ($20,300); CVS Health ($16,600)","Securities & Investment ($391,409); Retired ($357,110); Leadership PACs ($352,750); Real Estate ($314,132); Republican/Conservative ($314,008)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Emanuel,Cleaver,$688.50K,"$688,500",https://www.opensecrets.org/members-of-congress/emanuel-cleaver/summary?cid=N00026790,"Blackstone Group ($26,400); National Assn of Realtors ($12,000); Hallmark Cards ($11,620); America's Credit Unions ($11,000); AFLAC Inc ($10,000)","Real Estate ($205,413); Insurance ($188,565); Securities & Investment ($112,850); Retired ($73,084); Commercial Banks ($60,510)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Lance,Gooden,$682.29K,"$682,290",https://www.opensecrets.org/members-of-congress/lance-gooden/summary?cid=N00042237,"American Israel Public Affairs Cmte ($15,000); Mt Vernon Investments ($14,200); Blackridge (Texas) ($13,200); Ewing Subaru ($13,200); Gilchrist Automotive ($13,200)","Leadership PACs ($76,000); Securities & Investment ($74,457); Real Estate ($72,790); Automotive ($71,200); Oil & Gas ($63,200)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Andrew,Ogles,$673.00K,"$673,000",https://www.opensecrets.org/members-of-congress/ogles-andy/summary?cid=N00050943&cycle=2024,"House Freedom Fund ($48,600); Club for Growth ($25,025); Advance Financial ($13,200); Fisher Investments ($13,200); Middle Tennessee State University ($12,144)","Retired ($164,760); Republican/Conservative ($104,026); Leadership PACs ($70,671); Real Estate ($63,997); Candidate Committees ($44,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
LaMonica,McIver,$673.00K,"$673,000",https://www.opensecrets.org/members-of-congress/mciver-lamonica/summary?cid=N00055172&cycle=2024,"Service Employees International Union ($15,000); America's Credit Unions ($10,300); Laborers Union ($10,000); Purpose PAC ($10,000); Ashton Building Co ($9,900)","Real Estate ($55,860); Leadership PACs ($51,000); Lawyers/Law Firms ($43,678); Democratic/Liberal ($30,550); Building Trade Unions ($27,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Tom,Cotton,$669.53K,"$669,530",https://www.opensecrets.org/members-of-congress/cotton-tom/summary?cid=N00033363&cycle=2024,"Apollo Global Management ($90,500); Stephens Inc ($46,376); McNa Dental Plans ($45,300); Pro-israel America PAC ($33,550); Blackstone Group ($33,400)","Retired ($3,351,498); Securities & Investment ($1,651,740); Republican/Conservative ($1,436,276); Real Estate ($718,358); Lawyers/Law Firms ($373,281)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
H.,Griffith,$665.50K,"$665,500",,,,,,,,,
Ritchie,Torres,$658.15K,"$658,150",https://www.opensecrets.org/members-of-congress/ritchie-torres/summary?cid=N00044346,"American Israel Public Affairs Cmte ($535,798); NorPAC ($136,620); Blackstone Group ($61,990); KKR & Co ($54,000); Gibson, Dunn & Crutcher ($52,460)","Securities & Investment ($1,635,583); Pro-Israel ($1,100,833); Real Estate ($931,264); Lawyers/Law Firms ($561,193); Retired ($309,348)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Seth,Magaziner,$651.47K,"$651,470",https://www.opensecrets.org/members-of-congress/seth-magaziner/summary?cid=N00050458,"American Israel Public Affairs Cmte ($29,100); Service Employees International Union ($20,000); Tree of Life Productions ($19,800); Cornish Assoc ($19,300); Pontefract Global Strategies ($16,150)","Retired ($172,508); Securities & Investment ($119,193); Lawyers/Law Firms ($119,128); Real Estate ($110,650); Leadership PACs ($90,115)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
